team,season,first_half_goals,second_half_goals,league
UDI,2005,24.0,19.0,Serie A
ASC,2006,9.0,18.0,Serie A
ATA,2006,24.0,26.0,Serie A
CAG,2006,19.0,21.0,Serie A
CAT,2006,26.0,15.0,Serie A
CHI,2006,17.0,22.0,Serie A
EMP,2006,28.0,26.0,Serie A
FIO,2006,34.0,39.0,Serie A
INT,2006,51.0,46.0,Serie A
LAZ,2006,29.0,36.0,Serie A
LIVO,2006,22.0,21.0,Serie A
MES,2006,16.0,10.0,Serie A
MIL,2006,31.0,38.0,Serie A
PAL,2006,38.0,20.0,Serie A
PAR,2006,12.0,30.0,Serie A
REG,2006,23.0,28.0,Serie A
ROM,2006,42.0,33.0,Serie A
SAM,2006,24.0,25.0,Serie A
SIE,2006,22.0,19.0,Serie A
TOR,2006,22.0,18.0,Serie A
UDI,2006,23.0,23.0,Serie A
ATA,2007,25.0,23.0,Serie A
CAG,2007,10.0,32.0,Serie A
CAT,2007,22.0,15.0,Serie A
EMP,2007,16.0,20.0,Serie A
FIO,2007,34.0,32.0,Serie A
GEN,2007,25.0,23.0,Serie A
INT,2007,49.0,36.0,Serie A
JUV,2007,37.0,35.0,Serie A
LAZ,2007,19.0,27.0,Serie A
LIVO,2007,21.0,9.0,Serie A
MIL,2007,30.0,34.0,Serie A
NAP,2007,24.0,26.0,Serie A
PAL,2007,25.0,22.0,Serie A
PAR,2007,18.0,16.0,Serie A
REG,2007,18.0,22.0,Serie A
ROM,2007,42.0,40.0,Serie A
SAM,2007,25.0,35.0,Serie A
SIE,2007,17.0,27.0,Serie A
TOR,2007,17.0,23.0,Serie A
UDI,2007,32.0,25.0,Serie A
ATA,2008,27.0,20.0,Serie A
BOLG,2008,19.0,18.0,Serie A
CAG,2008,25.0,28.0,Serie A
CAT,2008,25.0,18.0,Serie A
CHI,2008,13.0,25.0,Serie A
FIO,2008,32.0,36.0,Serie A
GEN,2008,35.0,33.0,Serie A
INT,2008,43.0,41.0,Serie A
JUV,2008,40.0,34.0,Serie A
LAZ,2008,31.0,19.0,Serie A
LEC,2008,17.0,13.0,Serie A
MIL,2008,37.0,37.0,Serie A
NAP,2008,33.0,13.0,Serie A
PAL,2008,29.0,28.0,Serie A
REG,2008,13.0,18.0,Serie A
ROM,2008,30.0,33.0,Serie A
SAM,2008,20.0,26.0,Serie A
SIE,2008,22.0,22.0,Serie A
TOR,2008,15.0,19.0,Serie A
UDI,2008,23.0,35.0,Serie A
ATA,2009,16.0,19.0,Serie A
BARI,2009,28.0,22.0,Serie A
BOLG,2009,19.0,23.0,Serie A
CAG,2009,30.0,14.0,Serie A
CAT,2009,15.0,30.0,Serie A
CHI,2009,24.0,20.0,Serie A
FIO,2009,30.0,17.0,Serie A
GEN,2009,27.0,24.0,Serie A
INT,2009,45.0,37.0,Serie A
JUV,2009,33.0,22.0,Serie A
LAZ,2009,20.0,26.0,Serie A
LIVO,2009,21.0,8.0,Serie A
MIL,2009,40.0,30.0,Serie A
NAP,2009,33.0,26.0,Serie A
PAL,2009,30.0,35.0,Serie A
PAR,2009,28.0,24.0,Serie A
ROM,2009,32.0,48.0,Serie A
SAM,2009,26.0,41.0,Serie A
SIE,2009,12.0,19.0,Serie A
UDI,2009,20.0,24.0,Serie A
BARI,2010,14.0,10.0,Serie A
BOLG,2010,25.0,20.0,Serie A
BRES,2010,15.0,17.0,Serie A
CAG,2010,23.0,22.0,Serie A
CAT,2010,21.0,25.0,Serie A
CES,2010,19.0,24.0,Serie A
CHI,2010,22.0,24.0,Serie A
FIO,2010,24.0,27.0,Serie A
GEN,2010,23.0,28.0,Serie A
INT,2010,35.0,41.0,Serie A
JUV,2010,31.0,27.0,Serie A
LAZ,2010,34.0,32.0,Serie A
LEC,2010,18.0,23.0,Serie A
MIL,2010,40.0,42.0,Serie A
NAP,2010,36.0,34.0,Serie A
PAL,2010,31.0,25.0,Serie A
PAR,2010,22.0,24.0,Serie A
ROM,2010,32.0,31.0,Serie A
SAM,2010,26.0,10.0,Serie A
UDI,2010,27.0,39.0,Serie A
ATA,2011,26.0,26.0,Serie A
BOLG,2011,20.0,31.0,Serie A
CAG,2011,23.0,20.0,Serie A
CAT,2011,23.0,25.0,Serie A
CES,2011,15.0,7.0,Serie A
CHI,2011,24.0,25.0,Serie A
FIO,2011,22.0,24.0,Serie A
GEN,2011,24.0,18.0,Serie A
INT,2011,35.0,23.0,Serie A
JUV,2011,41.0,43.0,Serie A
LAZ,2011,33.0,29.0,Serie A
LEC,2011,13.0,23.0,Serie A
MIL,2011,40.0,40.0,Serie A
NAP,2011,29.0,32.0,Serie A
NOV,2011,12.0,20.0,Serie A
PAL,2011,24.0,19.0,Serie A
PAR,2011,23.0,33.0,Serie A
ROM,2011,31.0,25.0,Serie A
SIE,2011,19.0,25.0,Serie A
UDI,2011,38.0,26.0,Serie A
ATA,2012,24.0,18.0,Serie A
BOLG,2012,18.0,26.0,Serie A
CAG,2012,16.0,31.0,Serie A
CAT,2012,26.0,30.0,Serie A
CHI,2012,24.0,21.0,Serie A
FIO,2012,35.0,35.0,Serie A
GEN,2012,17.0,21.0,Serie A
INT,2012,35.0,19.0,Serie A
JUV,2012,44.0,43.0,Serie A
LAZ,2012,39.0,22.0,Serie A
MIL,2012,30.0,42.0,Serie A
NAP,2012,39.0,39.0,Serie A
PAL,2012,15.0,17.0,Serie A
PAR,2012,29.0,20.0,Serie A
PES,2012,20.0,2.0,Serie A
ROM,2012,32.0,30.0,Serie A
SAM,2012,21.0,22.0,Serie A
SIE,2012,17.0,19.0,Serie A
TOR,2012,21.0,19.0,Serie A
UDI,2012,27.0,39.0,Serie A
ATA,2013,21.0,29.0,Serie A
BOLG,2013,16.0,13.0,Serie A
CAG,2013,21.0,18.0,Serie A
CAT,2013,13.0,19.0,Serie A
CHI,2013,17.0,19.0,Serie A
FIO,2013,37.0,28.0,Serie A
GEN,2013,23.0,21.0,Serie A
INT,2013,32.0,28.0,Serie A
JUV,2013,52.0,50.0,Serie A
LAZ,2013,24.0,32.0,Serie A
LIVO,2013,13.0,12.0,Serie A
MIL,2013,22.0,35.0,Serie A
NAP,2013,42.0,36.0,Serie A
PAR,2013,26.0,32.0,Serie A
ROM,2013,44.0,41.0,Serie A
SAM,2013,21.0,24.0,Serie A
SAS,2013,17.0,17.0,Serie A
TOR,2013,26.0,31.0,Serie A
UDI,2013,20.0,24.0,Serie A
VER,2013,32.0,22.0,Serie A
ATA,2014,20.0,17.0,Serie A
CAG,2014,16.0,18.0,Serie A
CES,2014,9.0,15.0,Serie A
CHI,2014,18.0,25.0,Serie A
EMP,2014,19.0,23.0,Serie A
FIO,2014,30.0,34.0,Serie A
GEN,2014,28.0,31.0,Serie A
INT,2014,26.0,29.0,Serie A
JUV,2014,46.0,41.0,Serie A
LAZ,2014,31.0,38.0,Serie A
MIL,2014,26.0,26.0,Serie A
NAP,2014,33.0,30.0,Serie A
PAL,2014,26.0,23.0,Serie A
PAR,2014,10.0,16.0,Serie A
ROM,2014,41.0,29.0,Serie A
SAM,2014,33.0,23.0,Serie A
SAS,2014,25.0,24.0,Serie A
TOR,2014,22.0,32.0,Serie A
UDI,2014,24.0,17.0,Serie A
VER,2014,21.0,25.0,Serie A
ATA,2015,24.0,21.0,Serie A
BOLG,2015,22.0,20.0,Serie A
CARP,2015,14.0,24.0,Serie A
CHI,2015,26.0,24.0,Serie A
EMP,2015,30.0,16.0,Serie A
FIO,2015,38.0,26.0,Serie A
FRO,2015,15.0,16.0,Serie A
GEN,2015,19.0,27.0,Serie A
INT,2015,39.0,28.0,Serie A
JUV,2015,39.0,52.0,Serie A
LAZ,2015,27.0,27.0,Serie A
MIL,2015,29.0,28.0,Serie A
NAP,2015,41.0,41.0,Serie A
PAL,2015,21.0,18.0,Serie A
ROM,2015,34.0,46.0,Serie A
SAM,2015,23.0,17.0,Serie A
SAS,2015,31.0,30.0,Serie A
TOR,2015,25.0,20.0,Serie A
UDI,2015,24.0,15.0,Serie A
VER,2015,8.0,20.0,Serie A
ATA,2016,35.0,37.0,Serie A
BOLG,2016,23.0,18.0,Serie A
CAG,2016,23.0,24.0,Serie A
CHI,2016,25.0,18.0,Serie A
CRO,2016,9.0,25.0,Serie A
EMP,2016,17.0,15.0,Serie A
FIO,2016,30.0,30.0,Serie A
GEN,2016,23.0,13.0,Serie A
INT,2016,33.0,29.0,Serie A
JUV,2016,45.0,46.0,Serie A
LAZ,2016,37.0,33.0,Serie A
MIL,2016,37.0,26.0,Serie A
NAP,2016,38.0,48.0,Serie A
PAL,2016,10.0,16.0,Serie A
PES,2016,9.0,9.0,Serie A
ROM,2016,41.0,46.0,Serie A
SAM,2016,23.0,25.0,Serie A
SAS,2016,18.0,28.0,Serie A
TOR,2016,29.0,24.0,Serie A
UDI,2016,25.0,20.0,Serie A
ATA,2017,27.0,33.0,Serie A
BEN,2017,4.0,17.0,Serie A
BOLG,2017,24.0,15.0,Serie A
CAG,2017,20.0,19.0,Serie A
CHI,2017,21.0,19.0,Serie A
CRO,2017,15.0,20.0,Serie A
FIO,2017,27.0,30.0,Serie A
GEN,2017,18.0,23.0,Serie A
INT,2017,41.0,31.0,Serie A
JUV,2017,47.0,48.0,Serie A
LAZ,2017,40.0,32.0,Serie A
MIL,2017,25.0,39.0,Serie A
NAP,2017,48.0,43.0,Serie A
ROM,2017,39.0,38.0,Serie A
SAM,2017,30.0,24.0,Serie A
SAS,2017,21.0,22.0,Serie A
SPA,2017,15.0,23.0,Serie A
TOR,2017,25.0,29.0,Serie A
UDI,2017,28.0,12.0,Serie A
VER,2017,13.0,12.0,Serie A
ATA,2018,28.0,41.0,Serie A
BOLG,2018,13.0,31.0,Serie A
CAG,2018,20.0,21.0,Serie A
CHI,2018,11.0,9.0,Serie A
EMP,2018,16.0,22.0,Serie A
FIO,2018,26.0,15.0,Serie A
FRO,2018,10.0,15.0,Serie A
GEN,2018,20.0,18.0,Serie A
INT,2018,39.0,30.0,Serie A
JUV,2018,53.0,37.0,Serie A
LAZ,2018,32.0,27.0,Serie A
MIL,2018,31.0,37.0,Serie A
NAP,2018,44.0,35.0,Serie A
PAR,2018,25.0,16.0,Serie A
ROM,2018,30.0,36.0,Serie A
SAM,2018,29.0,24.0,Serie A
SAS,2018,25.0,18.0,Serie A
SPA,2018,17.0,25.0,Serie A
TOR,2018,27.0,36.0,Serie A
UDI,2018,18.0,25.0,Serie A
ATA,2019,35.0,43.0,Serie A
BOLG,2019,23.0,24.0,Serie A
BRES,2019,14.0,11.0,Serie A
CAG,2019,29.0,16.0,Serie A
FIO,2019,21.0,28.0,Serie A
GEN,2019,14.0,25.0,Serie A
INT,2019,46.0,36.0,Serie A
JUV,2019,48.0,35.0,Serie A
LAZ,2019,45.0,33.0,Serie A
LEC,2019,15.0,20.0,Serie A
MIL,2019,25.0,41.0,Serie A
NAP,2019,24.0,38.0,Serie A
PAR,2019,28.0,21.0,Serie A
ROM,2019,35.0,35.0,Serie A
SAM,2019,19.0,23.0,Serie A
SAS,2019,19.0,32.0,Serie A
SPA,2019,12.0,8.0,Serie A
TOR,2019,27.0,13.0,Serie A
UDI,2019,24.0,21.0,Serie A
VER,2019,26.0,23.0,Serie A
ATA,2020,36.0,42.0,Serie A
BEN,2020,22.0,11.0,Serie A
BOLG,2020,20.0,21.0,Serie A
CAG,2020,14.0,23.0,Serie A
CRO,2020,12.0,11.0,Serie A
FIO,2020,21.0,19.0,Serie A
GEN,2020,18.0,24.0,Serie A
INT,2020,41.0,50.0,Serie A
JUV,2020,39.0,39.0,Serie A
LAZ,2020,34.0,34.0,Serie A
MIL,2020,43.0,36.0,Serie A
NAP,2020,37.0,40.0,Serie A
PAR,2020,13.0,7.0,Serie A
ROM,2020,38.0,25.0,Serie A
SAM,2020,26.0,26.0,Serie A
SAS,2020,30.0,32.0,Serie A
SPE,2020,18.0,21.0,Serie A
TOR,2020,14.0,23.0,Serie A
UDI,2020,18.0,22.0,Serie A
VER,2020,28.0,15.0,Serie A
ATA,2021,38.0,21.0,Serie A
BOLG,2021,27.0,19.0,Serie A
CAG,2021,10.0,20.0,Serie A
EMP,2021,27.0,14.0,Serie A
FIO,2021,32.0,30.0,Serie A
GEN,2021,11.0,17.0,Serie A
INT,2021,46.0,38.0,Serie A
JUV,2021,34.0,36.0,Serie A
LAZ,2021,31.0,33.0,Serie A
MIL,2021,42.0,44.0,Serie A
NAP,2021,39.0,40.0,Serie A
ROM,2021,32.0,31.0,Serie A
SAL,2021,11.0,20.0,Serie A
SAM,2021,20.0,16.0,Serie A
SAS,2021,24.0,26.0,Serie A
SPE,2021,16.0,20.0,Serie A
TOR,2021,25.0,25.0,Serie A
UDI,2021,20.0,27.0,Serie A
VEN,2021,17.0,10.0,Serie A
VER,2021,24.0,29.0,Serie A
ATA,2022,35.0,29.0,Serie A
BOLG,2022,23.0,31.0,Serie A
CRE,2022,8.0,19.0,Serie A
EMP,2022,25.0,18.0,Serie A
FIO,2022,23.0,33.0,Serie A
INT,2022,37.0,35.0,Serie A
JUV,2022,38.0,34.0,Serie A
LAZ,2022,37.0,37.0,Serie A
LEC,2022,20.0,16.0,Serie A
MIL,2022,38.0,32.0,Serie A
MON,2022,22.0,30.0,Serie A
NAP,2022,50.0,40.0,Serie A
ROM,2022,37.0,26.0,Serie A
SAL,2022,18.0,24.0,Serie A
SAM,2022,9.0,10.0,Serie A
SAS,2022,17.0,28.0,Serie A
SPE,2022,18.0,13.0,Serie A
TOR,2022,26.0,27.0,Serie A
UDI,2022,28.0,18.0,Serie A
VER,2022,12.0,19.0,Serie A
ATA,2023,30.0,39.0,Serie A
BOLG,2023,32.0,36.0,Serie A
CAG,2023,15.0,21.0,Serie A
EMP,2023,13.0,23.0,Serie A
FIO,2023,33.0,27.0,Serie A
FRO,2023,19.0,16.0,Serie A
GEN,2023,21.0,28.0,Serie A
INT,2023,48.0,46.0,Serie A
JUV,2023,46.0,25.0,Serie A
LAZ,2023,30.0,31.0,Serie A
LEC,2023,21.0,17.0,Serie A
MIL,2023,39.0,36.0,Serie A
MON,2023,25.0,20.0,Serie A
NAP,2023,28.0,25.0,Serie A
ROM,2023,29.0,34.0,Serie A
SAL,2023,12.0,5.0,Serie A
SAS,2023,19.0,11.0,Serie A
TOR,2023,27.0,26.0,Serie A
UDI,2023,17.0,20.0,Serie A
VER,2023,14.0,24.0,Serie A
ATA,2024,42.0,32.0,Serie A
BOLG,2024,30.0,32.0,Serie A
CAG,2024,17.0,19.0,Serie A
COM,2024,19.0,30.0,Serie A
EMP,2024,20.0,11.0,Serie A
FIO,2024,32.0,33.0,Serie A
GEN,2024,20.0,23.0,Serie A
INT,2024,44.0,37.0,Serie A
JUV,2024,33.0,37.0,Serie A
LAZ,2024,35.0,30.0,Serie A
LEC,2024,17.0,17.0,Serie A
MIL,2024,31.0,32.0,Serie A
MON,2024,10.0,8.0,Serie A
NAP,2024,44.0,38.0,Serie A
PAR,2024,19.0,17.0,Serie A
ROM,2024,23.0,46.0,Serie A
TOR,2024,21.0,23.0,Serie A
UDI,2024,25.0,19.0,Serie A
VEN,2024,14.0,15.0,Serie A
VER,2024,19.0,18.0,Serie A
