team,season,first_half_goals,second_half_goals,league
AUG,2020,19.0,17.0,Bundesliga
BAY,2020,39.0,39.0,Bundesliga
BIE,2020,17.0,18.0,Bundesliga
DOR,2020,29.0,35.0,Bundesliga
EINF,2020,27.0,33.0,Bundesliga
FRE,2020,24.0,21.0,Bundesliga
HERT,2020,17.0,18.0,Bundesliga
HOF,2020,19.0,24.0,Bundesliga
KOL,2020,15.0,18.0,Bundesliga
LEVK,2020,32.0,20.0,Bundesliga
M'G,2020,28.0,21.0,Bundesliga
MAI,2020,7.0,32.0,Bundesliga
RBL,2020,35.0,30.0,Bundesliga
SCH,2020,7.0,9.0,Bundesliga
STU,2020,22.0,23.0,Bundesliga
UNI,2020,28.0,22.0,Bundesliga
WERB,2020,18.0,13.0,Bundesliga
WOB,2020,29.0,32.0,Bundesliga
AUG,2021,18.0,20.0,Bundesliga
BAY,2021,43.0,34.0,Bundesliga
BIE,2021,16.0,12.0,Bundesliga
BOC,2021,20.0,22.0,Bundesliga
DOR,2021,34.0,35.0,Bundesliga
EINF,2021,27.0,15.0,Bundesliga
FRE,2021,29.0,26.0,Bundesliga
GREF,2021,5.0,13.0,Bundesliga
HERT,2021,21.0,12.0,Bundesliga
HOF,2021,28.0,18.0,Bundesliga
KOL,2021,25.0,27.0,Bundesliga
LEVK,2021,28.0,36.0,Bundesliga
M'G,2021,19.0,26.0,Bundesliga
MAI,2021,24.0,22.0,Bundesliga
RBL,2021,22.0,36.0,Bundesliga
STU,2021,17.0,16.0,Bundesliga
UNI,2021,27.0,30.0,Bundesliga
WOB,2021,20.0,22.0,Bundesliga
AUG,2022,18.0,16.0,Bundesliga
BAY,2022,36.0,35.0,Bundesliga
BOC,2022,16.0,19.0,Bundesliga
DOR,2022,31.0,40.0,Bundesliga
EINF,2022,31.0,19.0,Bundesliga
FRE,2022,31.0,28.0,Bundesliga
HERT,2022,14.0,15.0,Bundesliga
HOF,2022,19.0,17.0,Bundesliga
KOL,2022,21.0,21.0,Bundesliga
LEVK,2022,24.0,26.0,Bundesliga
M'G,2022,22.0,21.0,Bundesliga
MAI,2022,20.0,26.0,Bundesliga
RBL,2022,32.0,34.0,Bundesliga
SCH,2022,9.0,22.0,Bundesliga
STU,2022,16.0,17.0,Bundesliga
UNI,2022,33.0,29.0,Bundesliga
WERB,2022,21.0,15.0,Bundesliga
WOB,2022,29.0,20.0,Bundesliga
AUG,2023,18.0,21.0,Bundesliga
BAY,2023,41.0,31.0,Bundesliga
BOC,2023,17.0,16.0,Bundesliga
DAR,2023,10.0,7.0,Bundesliga
DOR,2023,30.0,33.0,Bundesliga
EINF,2023,27.0,20.0,Bundesliga
FRE,2023,25.0,17.0,Bundesliga
HEI,2023,21.0,21.0,Bundesliga
HOF,2023,24.0,22.0,Bundesliga
KOL,2023,11.0,16.0,Bundesliga
LEVK,2023,45.0,45.0,Bundesliga
M'G,2023,20.0,14.0,Bundesliga
MAI,2023,11.0,24.0,Bundesliga
RBL,2023,33.0,32.0,Bundesliga
STU,2023,34.0,39.0,Bundesliga
UNI,2023,14.0,19.0,Bundesliga
WERB,2023,17.0,25.0,Bundesliga
WOB,2023,20.0,17.0,Bundesliga
AUG,2024,19.0,24.0,Bundesliga
BAY,2024,42.0,40.0,Bundesliga
BOC,2024,9.0,14.0,Bundesliga
DOR,2024,25.0,32.0,Bundesliga
EINF,2024,33.0,27.0,Bundesliga
FRE,2024,27.0,28.0,Bundesliga
HEI,2024,14.0,15.0,Bundesliga
HOF,2024,14.0,18.0,Bundesliga
HOLK,2024,11.0,14.0,Bundesliga
LEVK,2024,38.0,31.0,Bundesliga
M'G,2024,24.0,21.0,Bundesliga
MAI,2024,28.0,24.0,Bundesliga
RBL,2024,30.0,21.0,Bundesliga
STP,2024,14.0,18.0,Bundesliga
STU,2024,29.0,21.0,Bundesliga
UNI,2024,17.0,24.0,Bundesliga
WERB,2024,26.0,25.0,Bundesliga
WOB,2024,27.0,16.0,Bundesliga
ALA,2000,24.0,25.0,La Liga
ATHB,2000,26.0,17.0,La Liga
BARC,2000,36.0,27.0,La Liga
CEL,2000,20.0,39.0,La Liga
ESP,2000,24.0,26.0,La Liga
LAC,2000,37.0,36.0,La Liga
LASP,2000,28.0,18.0,La Liga
MALL,2000,31.0,40.0,La Liga
MLG,2000,27.0,29.0,La Liga
NUM,2000,19.0,20.0,La Liga
OSA,2000,17.0,25.0,La Liga
OVI,2000,24.0,17.0,La Liga
RAYO,2000,29.0,14.0,La Liga
RMA,2000,42.0,38.0,La Liga
RSO,2000,14.0,29.0,La Liga
SAN,2000,14.0,25.0,La Liga
VIL,2000,26.0,31.0,La Liga
VLC,2000,35.0,28.0,La Liga
VLLD,2000,22.0,20.0,La Liga
ZAR,2000,24.0,18.0,La Liga
ALA,2001,33.0,21.0,La Liga
ATHB,2001,31.0,22.0,La Liga
BARC,2001,30.0,34.0,La Liga
BET,2001,31.0,28.0,La Liga
CEL,2001,32.0,28.0,La Liga
ESP,2001,24.0,23.0,La Liga
LAC,2001,33.0,35.0,La Liga
LASP,2001,24.0,16.0,La Liga
MALL,2001,20.0,23.0,La Liga
MLG,2001,24.0,29.0,La Liga
OSA,2001,22.0,20.0,La Liga
RAYO,2001,14.0,35.0,La Liga
RMA,2001,35.0,31.0,La Liga
RSO,2001,19.0,28.0,La Liga
SEV,2001,27.0,26.0,La Liga
TEN,2001,21.0,17.0,La Liga
VIL,2001,22.0,21.0,La Liga
VLC,2001,33.0,42.0,La Liga
VLLD,2001,25.0,23.0,La Liga
ZAR,2001,23.0,14.0,La Liga
ALA,2002,24.0,11.0,La Liga
ATHB,2002,22.0,33.0,La Liga
ATHM,2002,25.0,22.0,La Liga
BARC,2002,23.0,33.0,La Liga
BET,2002,33.0,21.0,La Liga
CEL,2002,30.0,31.0,La Liga
ESP,2002,20.0,23.0,La Liga
LAC,2002,32.0,40.0,La Liga
MALL,2002,27.0,25.0,La Liga
MLG,2002,24.0,22.0,La Liga
OSA,2002,23.0,24.0,La Liga
RAYO,2002,18.0,14.0,La Liga
REC,2002,14.0,22.0,La Liga
RMA,2002,38.0,40.0,La Liga
RSO,2002,43.0,33.0,La Liga
SAN,2002,20.0,24.0,La Liga
SEV,2002,22.0,28.0,La Liga
VIL,2002,22.0,23.0,La Liga
VLC,2002,35.0,25.0,La Liga
VLLD,2002,24.0,22.0,La Liga
ALB,2003,20.0,27.0,La Liga
ATHB,2003,26.0,30.0,La Liga
ATHM,2003,31.0,24.0,La Liga
BARC,2003,27.0,45.0,La Liga
BET,2003,22.0,30.0,La Liga
CEL,2003,20.0,19.0,La Liga
ESP,2003,14.0,29.0,La Liga
LAC,2003,37.0,34.0,La Liga
MALL,2003,23.0,28.0,La Liga
MLG,2003,26.0,25.0,La Liga
MUR,2003,12.0,14.0,La Liga
OSA,2003,29.0,19.0,La Liga
RMA,2003,42.0,28.0,La Liga
RSO,2003,21.0,25.0,La Liga
SAN,2003,26.0,17.0,La Liga
SEV,2003,25.0,30.0,La Liga
VIL,2003,30.0,24.0,La Liga
VLC,2003,43.0,34.0,La Liga
VLLD,2003,25.0,16.0,La Liga
ZAR,2003,20.0,28.0,La Liga
ALA,2005,15.0,24.0,La Liga
ATHB,2005,15.0,30.0,La Liga
ATHM,2005,20.0,32.0,La Liga
BARC,2005,46.0,36.0,La Liga
BET,2005,19.0,23.0,La Liga
CAD,2005,20.0,16.0,La Liga
CEL,2005,30.0,34.0,La Liga
ESP,2005,21.0,20.0,La Liga
GET,2005,25.0,29.0,La Liga
LAC,2005,32.0,23.0,La Liga
MALL,2005,17.0,26.0,La Liga
MLG,2005,17.0,7.0,La Liga
OSA,2005,39.0,29.0,La Liga
RMA,2005,33.0,37.0,La Liga
RSO,2005,21.0,19.0,La Liga
SAN,2005,23.0,17.0,La Liga
SEV,2005,29.0,39.0,La Liga
VIL,2005,31.0,26.0,La Liga
VLC,2005,36.0,33.0,La Liga
ZAR,2005,27.0,19.0,La Liga
ALM,2007,23.0,29.0,La Liga
ATHB,2007,22.0,28.0,La Liga
ATHM,2007,37.0,27.0,La Liga
BARC,2007,40.0,27.0,La Liga
BET,2007,21.0,26.0,La Liga
ESP,2007,36.0,12.0,La Liga
GET,2007,21.0,26.0,La Liga
LAC,2007,17.0,35.0,La Liga
LEVA,2007,8.0,18.0,La Liga
MALL,2007,22.0,37.0,La Liga
MUR,2007,22.0,8.0,La Liga
OSA,2007,20.0,23.0,La Liga
REC,2007,21.0,23.0,La Liga
RMA,2007,47.0,38.0,La Liga
SAN,2007,32.0,28.0,La Liga
SEV,2007,26.0,38.0,La Liga
VIL,2007,35.0,42.0,La Liga
VLC,2007,27.0,24.0,La Liga
VLLD,2007,24.0,21.0,La Liga
ZAR,2007,22.0,20.0,La Liga
ALM,2008,21.0,25.0,La Liga
ATHB,2008,26.0,18.0,La Liga
ATHM,2008,31.0,36.0,La Liga
BARC,2008,50.0,37.0,La Liga
BET,2008,21.0,21.0,La Liga
ESP,2008,15.0,32.0,La Liga
GET,2008,21.0,21.0,La Liga
LAC,2008,30.0,28.0,La Liga
MALL,2008,14.0,37.0,La Liga
MLG,2008,31.0,24.0,La Liga
NUM,2008,20.0,15.0,La Liga
OSA,2008,13.0,30.0,La Liga
REC,2008,20.0,13.0,La Liga
RMA,2008,38.0,40.0,La Liga
SAN,2008,25.0,21.0,La Liga
SEV,2008,38.0,32.0,La Liga
SPG,2008,24.0,19.0,La Liga
VIL,2008,33.0,32.0,La Liga
VLC,2008,34.0,28.0,La Liga
VLLD,2008,23.0,20.0,La Liga
ALM,2009,18.0,24.0,La Liga
ATHB,2009,30.0,24.0,La Liga
ATHM,2009,23.0,24.0,La Liga
BARC,2009,49.0,50.0,La Liga
ESP,2009,20.0,24.0,La Liga
GET,2009,30.0,28.0,La Liga
LAC,2009,34.0,13.0,La Liga
MALL,2009,34.0,28.0,La Liga
MLG,2009,17.0,20.0,La Liga
OSA,2009,23.0,20.0,La Liga
RMA,2009,44.0,52.0,La Liga
SAN,2009,23.0,16.0,La Liga
SEV,2009,33.0,30.0,La Liga
SPG,2009,24.0,16.0,La Liga
TEN,2009,17.0,19.0,La Liga
VIL,2009,26.0,30.0,La Liga
VLC,2009,39.0,32.0,La Liga
VLLD,2009,17.0,19.0,La Liga
XER,2009,8.0,26.0,La Liga
ZAR,2009,14.0,27.0,La Liga
ALM,2010,14.0,16.0,La Liga
ATHB,2010,29.0,29.0,La Liga
ATHM,2010,30.0,28.0,La Liga
BARC,2010,52.0,44.0,La Liga
ESP,2010,34.0,15.0,La Liga
GET,2010,27.0,17.0,La Liga
HERC,2010,22.0,13.0,La Liga
LAC,2010,21.0,22.0,La Liga
LEVA,2010,15.0,30.0,La Liga
MALL,2010,27.0,17.0,La Liga
MLG,2010,17.0,29.0,La Liga
OSA,2010,18.0,29.0,La Liga
RMA,2010,48.0,44.0,La Liga
RSO,2010,25.0,20.0,La Liga
SAN,2010,20.0,26.0,La Liga
SEV,2010,26.0,32.0,La Liga
SPG,2010,16.0,31.0,La Liga
VIL,2010,39.0,23.0,La Liga
VLC,2010,37.0,34.0,La Liga
ZAR,2010,16.0,29.0,La Liga
ATHB,2011,26.0,23.0,La Liga
ATHM,2011,26.0,30.0,La Liga
BARC,2011,44.0,47.0,La Liga
