league,season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
bundesliga,2024,2025-02-08,M'G,EINF,1.0,1.0,0,1.0,1.0,2.59,3.64,2.59
bundesliga,2024,2025-02-07,BAY,WERB,3.0,0.0,1,3.0,0.0,1.1,11.87,21.03
bundesliga,2024,2025-02-02,EINF,WOB,1.0,1.0,0,1.0,1.0,1.96,3.82,3.59
bundesliga,2024,2025-02-02,LEVK,HOF,3.0,1.0,1,3.0,0.0,1.23,6.86,10.7
bundesliga,2024,2025-02-01,BAY,HOLK,4.0,3.0,1,3.0,0.0,1.05,16.44,38.04
bundesliga,2024,2025-02-01,BOC,FRE,0.0,1.0,-1,0.0,3.0,2.81,3.38,2.51
bundesliga,2024,2025-02-01,HEI,DOR,1.0,2.0,-1,0.0,3.0,4.3,4.01,1.76
bundesliga,2024,2025-02-01,STP,AUG,1.0,1.0,0,1.0,1.0,2.35,3.2,3.23
bundesliga,2024,2025-02-01,STU,M'G,1.0,2.0,-1,0.0,3.0,1.57,4.62,5.05
bundesliga,2024,2025-02-01,UNI,RBL,0.0,0.0,0,1.0,1.0,3.12,3.49,2.26
bundesliga,2024,2025-01-31,WERB,MAI,1.0,0.0,1,3.0,0.0,2.31,3.4,3.13
bundesliga,2024,2025-01-26,HOF,EINF,2.0,2.0,0,1.0,1.0,3.08,3.59,2.24
bundesliga,2024,2025-01-26,STP,UNI,3.0,0.0,1,3.0,0.0,2.5,3.14,3.01
bundesliga,2024,2025-01-25,AUG,HEI,2.0,1.0,1,3.0,0.0,1.9,3.62,4.05
bundesliga,2024,2025-01-25,DOR,WERB,2.0,2.0,0,1.0,1.0,1.62,4.39,4.9
bundesliga,2024,2025-01-25,FRE,BAY,1.0,2.0,-1,0.0,3.0,8.55,5.6,1.32
bundesliga,2024,2025-01-25,MAI,STU,2.0,0.0,1,3.0,0.0,2.84,3.5,2.44
bundesliga,2024,2025-01-25,RBL,LEVK,2.0,2.0,0,1.0,1.0,3.7,3.95,1.91
bundesliga,2024,2025-01-25,M'G,BOC,3.0,0.0,1,3.0,0.0,1.72,4.08,4.49
bundesliga,2024,2025-01-24,WOB,HOLK,2.0,2.0,0,1.0,1.0,1.43,4.96,6.99
bundesliga,2024,2025-01-19,UNI,MAI,2.0,1.0,1,3.0,0.0,2.58,3.18,2.88
bundesliga,2024,2025-01-19,WERB,AUG,0.0,2.0,-1,0.0,3.0,1.86,3.72,4.09
bundesliga,2024,2025-01-18,BAY,WOB,3.0,2.0,1,3.0,0.0,1.17,8.34,14.42
bundesliga,2024,2025-01-18,BOC,RBL,3.0,3.0,0,1.0,1.0,3.63,3.7,1.99
bundesliga,2024,2025-01-18,HEI,STP,0.0,2.0,-1,0.0,3.0,2.42,3.47,2.87
bundesliga,2024,2025-01-18,HOLK,HOF,1.0,3.0,-1,0.0,3.0,2.9,3.6,2.35
bundesliga,2024,2025-01-18,STU,FRE,4.0,0.0,1,3.0,0.0,1.66,4.33,4.71
bundesliga,2024,2025-01-18,LEVK,M'G,3.0,1.0,1,3.0,0.0,1.27,6.22,10.05
bundesliga,2024,2025-01-17,EINF,DOR,2.0,0.0,1,3.0,0.0,2.56,3.59,2.65
bundesliga,2024,2025-01-15,BOC,STP,1.0,0.0,1,3.0,0.0,2.59,3.27,2.81
bundesliga,2024,2025-01-15,BAY,HOF,5.0,0.0,1,3.0,0.0,1.12,10.12,18.51
bundesliga,2024,2025-01-15,STU,RBL,2.0,1.0,1,3.0,0.0,2.01,3.78,3.47
bundesliga,2024,2025-01-15,UNI,AUG,0.0,2.0,-1,0.0,3.0,1.84,3.51,4.55
bundesliga,2024,2025-01-15,WERB,HEI,3.0,3.0,0,1.0,1.0,1.63,4.26,4.92
bundesliga,2024,2025-01-14,HOLK,DOR,4.0,2.0,1,3.0,0.0,5.41,4.64,1.55
bundesliga,2024,2025-01-14,EINF,FRE,4.0,1.0,1,3.0,0.0,1.71,4.12,4.53
bundesliga,2024,2025-01-14,LEVK,MAI,1.0,0.0,1,3.0,0.0,1.37,5.12,8.38
bundesliga,2024,2025-01-14,WOB,M'G,5.0,1.0,1,3.0,0.0,1.96,3.8,3.69
bundesliga,2024,2025-01-12,RBL,WERB,4.0,2.0,1,3.0,0.0,1.75,4.11,4.22
bundesliga,2024,2025-01-12,AUG,STU,0.0,1.0,-1,0.0,3.0,3.61,3.65,1.99
bundesliga,2024,2025-01-11,FRE,HOLK,3.0,2.0,1,3.0,0.0,1.39,4.98,7.58
bundesliga,2024,2025-01-11,HEI,UNI,2.0,0.0,1,3.0,0.0,3.17,3.26,2.34
bundesliga,2024,2025-01-11,HOF,WOB,0.0,1.0,-1,0.0,3.0,2.43,3.45,2.87
bundesliga,2024,2025-01-11,MAI,BOC,2.0,0.0,1,3.0,0.0,1.56,4.28,5.76
bundesliga,2024,2025-01-11,STP,EINF,0.0,1.0,-1,0.0,3.0,3.57,3.47,2.08
bundesliga,2024,2025-01-11,M'G,BAY,0.0,1.0,-1,0.0,3.0,6.8,5.23,1.4
bundesliga,2024,2025-01-10,DOR,LEVK,2.0,3.0,-1,0.0,3.0,2.82,3.55,2.43
bundesliga,2024,2024-12-22,BOC,HEI,2.0,0.0,1,3.0,0.0,2.32,3.52,2.98
bundesliga,2024,2024-12-22,WOB,DOR,1.0,3.0,-1,0.0,3.0,3.05,3.67,2.23
bundesliga,2024,2024-12-21,EINF,MAI,1.0,3.0,-1,0.0,3.0,1.84,3.95,3.97
