league,season,team_std,team_full
bundesliga,2016,BAY,Bayern Munich
bundesliga,2016,DAR,Darmstadt
bundesliga,2016,DOR,Dortmund
bundesliga,2016,EINF,Ein Frankfurt
bundesliga,2016,FRE,Freiburg
bundesliga,2016,HAM,Hamburg
bundesliga,2016,HERT,Hertha
bundesliga,2016,HOF,Hoffenheim
bundesliga,2016,ING,Ingolstadt
bundesliga,2016,KOL,FC Koln
bundesliga,2016,LEVK,Leverkusen
bundesliga,2016,M'G,M'gladbach
bundesliga,2016,MAI,Mainz
bundesliga,2016,RBL,RB Leipzig
bundesliga,2016,SCH,Schalke 04
bundesliga,2016,WERB,Werder Bremen
bundesliga,2016,WOB,Wolfsburg
bundesliga,2017,AUG,Augsburg
bundesliga,2017,BAY,Bayern Munich
bundesliga,2017,DOR,Dortmund
bundesliga,2017,EINF,Ein Frankfurt
bundesliga,2017,FRE,Freiburg
bundesliga,2017,HAM,Hamburg
bundesliga,2017,HAN,Hannover
bundesliga,2017,HERT,Hertha
bundesliga,2017,HOF,Hoffenheim
bundesliga,2017,KOL,FC Koln
bundesliga,2017,LEVK,Leverkusen
bundesliga,2017,M'G,M'gladbach
bundesliga,2017,MAI,Mainz
bundesliga,2017,RBL,RB Leipzig
bundesliga,2017,SCH,Schalke 04
bundesliga,2017,STU,Stuttgart
bundesliga,2017,WERB,Werder Bremen
bundesliga,2017,WOB,Wolfsburg
bundesliga,2018,AUG,Augsburg
bundesliga,2018,BAY,Bayern Munich
bundesliga,2018,DOR,Dortmund
bundesliga,2018,EINF,Ein Frankfurt
bundesliga,2018,FORD,Fortuna Dusseldorf
bundesliga,2018,FRE,Freiburg
bundesliga,2018,HAN,Hannover
bundesliga,2018,HERT,Hertha
bundesliga,2018,HOF,Hoffenheim
bundesliga,2018,LEVK,Leverkusen
bundesliga,2018,M'G,M'gladbach
bundesliga,2018,MAI,Mainz
bundesliga,2018,NUR,Nurnberg
bundesliga,2018,RBL,RB Leipzig
bundesliga,2018,SCH,Schalke 04
bundesliga,2018,STU,Stuttgart
bundesliga,2018,WERB,Werder Bremen
bundesliga,2018,WOB,Wolfsburg
bundesliga,2019,AUG,Augsburg
bundesliga,2019,BAY,Bayern Munich
bundesliga,2019,DOR,Dortmund
bundesliga,2019,EINF,Ein Frankfurt
bundesliga,2019,FORD,Fortuna Dusseldorf
bundesliga,2019,FRE,Freiburg
bundesliga,2019,HERT,Hertha
bundesliga,2019,HOF,Hoffenheim
bundesliga,2019,KOL,FC Koln
bundesliga,2019,LEVK,Leverkusen
bundesliga,2019,M'G,M'gladbach
bundesliga,2019,MAI,Mainz
bundesliga,2019,PAD,Paderborn
bundesliga,2019,RBL,RB Leipzig
bundesliga,2019,SCH,Schalke 04
bundesliga,2019,UNI,Union Berlin
bundesliga,2019,WERB,Werder Bremen
bundesliga,2019,WOB,Wolfsburg
bundesliga,2020,AUG,Augsburg
bundesliga,2020,BAY,Bayern Munich
bundesliga,2020,BIE,Bielefeld
bundesliga,2020,DOR,Dortmund
bundesliga,2020,EINF,Ein Frankfurt
bundesliga,2020,FRE,Freiburg
bundesliga,2020,HERT,Hertha
bundesliga,2020,HOF,Hoffenheim
bundesliga,2020,KOL,FC Koln
bundesliga,2020,LEVK,Leverkusen
bundesliga,2020,M'G,M'gladbach
bundesliga,2020,MAI,Mainz
bundesliga,2020,RBL,RB Leipzig
bundesliga,2020,SCH,Schalke 04
bundesliga,2020,STU,Stuttgart
bundesliga,2020,UNI,Union Berlin
bundesliga,2020,WERB,Werder Bremen
bundesliga,2020,WOB,Wolfsburg
bundesliga,2021,AUG,Augsburg
bundesliga,2021,BAY,Bayern Munich
bundesliga,2021,BIE,Bielefeld
bundesliga,2021,BOC,Bochum
bundesliga,2021,DOR,Dortmund
bundesliga,2021,EINF,Ein Frankfurt
bundesliga,2021,FRE,Freiburg
bundesliga,2021,GREF,Greuther Furth
bundesliga,2021,HERT,Hertha
bundesliga,2021,HOF,Hoffenheim
bundesliga,2021,KOL,FC Koln
bundesliga,2021,LEVK,Leverkusen
bundesliga,2021,M'G,M'gladbach
bundesliga,2021,MAI,Mainz
bundesliga,2021,RBL,RB Leipzig
bundesliga,2021,STU,Stuttgart
bundesliga,2021,UNI,Union Berlin
bundesliga,2021,WOB,Wolfsburg
bundesliga,2022,AUG,Augsburg
bundesliga,2022,BAY,Bayern Munich
bundesliga,2022,BOC,Bochum
bundesliga,2022,DOR,Dortmund
bundesliga,2022,EINF,Ein Frankfurt
bundesliga,2022,FRE,Freiburg
bundesliga,2022,HERT,Hertha
bundesliga,2022,HOF,Hoffenheim
bundesliga,2022,KOL,FC Koln
bundesliga,2022,LEVK,Leverkusen
bundesliga,2022,M'G,M'gladbach
bundesliga,2022,MAI,Mainz
bundesliga,2022,RBL,RB Leipzig
bundesliga,2022,SCH,Schalke 04
bundesliga,2022,STU,Stuttgart
bundesliga,2022,UNI,Union Berlin
bundesliga,2022,WERB,Werder Bremen
bundesliga,2022,WOB,Wolfsburg
bundesliga,2023,AUG,Augsburg
bundesliga,2023,BAY,Bayern Munich
bundesliga,2023,BOC,Bochum
bundesliga,2023,DAR,Darmstadt
bundesliga,2023,DOR,Dortmund
bundesliga,2023,EINF,Ein Frankfurt
bundesliga,2023,FRE,Freiburg
bundesliga,2023,HEI,Heidenheim
bundesliga,2023,HOF,Hoffenheim
bundesliga,2023,KOL,FC Koln
bundesliga,2023,LEVK,Leverkusen
bundesliga,2023,M'G,M'gladbach
bundesliga,2023,MAI,Mainz
bundesliga,2023,RBL,RB Leipzig
bundesliga,2023,STU,Stuttgart
bundesliga,2023,UNI,Union Berlin
bundesliga,2023,WERB,Werder Bremen
bundesliga,2023,WOB,Wolfsburg
bundesliga,2024,AUG,Augsburg
bundesliga,2024,BAY,Bayern Munich
bundesliga,2024,BOC,Bochum
bundesliga,2024,DOR,Dortmund
bundesliga,2024,EINF,Ein Frankfurt
bundesliga,2024,FRE,Freiburg
bundesliga,2024,HEI,Heidenheim
bundesliga,2024,HOF,Hoffenheim
bundesliga,2024,HOLK,Holstein Kiel
bundesliga,2024,LEVK,Leverkusen
bundesliga,2024,M'G,M'gladbach
bundesliga,2024,MAI,Mainz
bundesliga,2024,RBL,RB Leipzig
bundesliga,2024,STP,St Pauli
bundesliga,2024,STU,Stuttgart
bundesliga,2024,UNI,Union Berlin
bundesliga,2024,WERB,Werder Bremen
bundesliga,2024,WOB,Wolfsburg
la_liga,2000,ALA,Alaves
la_liga,2000,ATHB,Ath Bilbao
la_liga,2000,BARC,Barcelona
la_liga,2000,CEL,Celta
la_liga,2000,ESP,Espanol
la_liga,2000,LAC,La Coruna
la_liga,2000,LASP,Las Palmas
la_liga,2000,MALL,Mallorca
la_liga,2000,MLG,Malaga
la_liga,2000,NUM,Numancia
la_liga,2000,OSA,Osasuna
la_liga,2000,OVI,Oviedo
la_liga,2000,RAYO,Vallecano
la_liga,2000,RMA,Real Madrid
la_liga,2000,RSO,Sociedad
la_liga,2000,SAN,Santander
la_liga,2000,VIL,Villarreal
la_liga,2000,VLC,Valencia
la_liga,2000,VLLD,Valladolid
la_liga,2000,ZAR,Zaragoza
la_liga,2001,ALA,Alaves
la_liga,2001,ATHB,Ath Bilbao
la_liga,2001,BARC,Barcelona
la_liga,2001,BET,Betis
la_liga,2001,CEL,Celta
la_liga,2001,ESP,Espanol
la_liga,2001,LAC,La Coruna
la_liga,2001,LASP,Las Palmas
la_liga,2001,MALL,Mallorca
la_liga,2001,MLG,Malaga
la_liga,2001,OSA,Osasuna
la_liga,2001,RAYO,Vallecano
la_liga,2001,RMA,Real Madrid
la_liga,2001,RSO,Sociedad
la_liga,2001,SEV,Sevilla
la_liga,2001,TEN,Tenerife
la_liga,2001,VIL,Villarreal
la_liga,2001,VLC,Valencia
la_liga,2001,VLLD,Valladolid
la_liga,2001,ZAR,Zaragoza
la_liga,2002,ALA,Alaves
la_liga,2002,ATHB,Ath Bilbao
la_liga,2002,ATHM,Ath Madrid
la_liga,2002,BARC,Barcelona
la_liga,2002,BET,Betis
la_liga,2002,CEL,Celta
la_liga,2002,ESP,Espanol
la_liga,2002,LAC,La Coruna
la_liga,2002,MALL,Mallorca
la_liga,2002,MLG,Malaga
la_liga,2002,OSA,Osasuna
la_liga,2002,RAYO,Vallecano
la_liga,2002,REC,Recreativo
la_liga,2002,RMA,Real Madrid
la_liga,2002,RSO,Sociedad
la_liga,2002,SAN,Santander
la_liga,2002,SEV,Sevilla
la_liga,2002,VIL,Villarreal
la_liga,2002,VLC,Valencia
la_liga,2002,VLLD,Valladolid
la_liga,2003,ALB,Albacete
la_liga,2003,ATHB,Ath Bilbao
la_liga,2003,ATHM,Ath Madrid
la_liga,2003,BARC,Barcelona
la_liga,2003,BET,Betis
la_liga,2003,CEL,Celta
la_liga,2003,ESP,Espanol
la_liga,2003,LAC,La Coruna
la_liga,2003,MALL,Mallorca
la_liga,2003,MLG,Malaga
la_liga,2003,MUR,Murcia
la_liga,2003,OSA,Osasuna
la_liga,2003,RMA,Real Madrid
la_liga,2003,RSO,Sociedad
la_liga,2003,SAN,Santander
la_liga,2003,SEV,Sevilla
la_liga,2003,VIL,Villarreal
la_liga,2003,VLC,Valencia
la_liga,2003,VLLD,Valladolid
la_liga,2003,ZAR,Zaragoza
la_liga,2005,ALA,Alaves
la_liga,2005,ATHB,Ath Bilbao
la_liga,2005,ATHM,Ath Madrid
la_liga,2005,BARC,Barcelona
la_liga,2005,BET,Betis
la_liga,2005,CAD,Cadiz
la_liga,2005,CEL,Celta
la_liga,2005,ESP,Espanol
la_liga,2005,GET,Getafe
la_liga,2005,LAC,La Coruna
la_liga,2005,MALL,Mallorca
la_liga,2005,MLG,Malaga
la_liga,2005,OSA,Osasuna
la_liga,2005,RMA,Real Madrid
la_liga,2005,RSO,Sociedad
la_liga,2005,SAN,Santander
la_liga,2005,SEV,Sevilla
la_liga,2005,VIL,Villarreal
la_liga,2005,VLC,Valencia
la_liga,2005,ZAR,Zaragoza
la_liga,2007,ALM,Almeria
la_liga,2007,ATHB,Ath Bilbao
la_liga,2007,ATHM,Ath Madrid
la_liga,2007,BARC,Barcelona
la_liga,2007,BET,Betis
la_liga,2007,ESP,Espanol
la_liga,2007,GET,Getafe
la_liga,2007,LAC,La Coruna
la_liga,2007,LEVA,Levante
la_liga,2007,MALL,Mallorca
la_liga,2007,MUR,Murcia
la_liga,2007,OSA,Osasuna
la_liga,2007,REC,Recreativo
la_liga,2007,RMA,Real Madrid
la_liga,2007,SAN,Santander
la_liga,2007,SEV,Sevilla
la_liga,2007,VIL,Villarreal
la_liga,2007,VLC,Valencia
la_liga,2007,VLLD,Valladolid
la_liga,2007,ZAR,Zaragoza
la_liga,2008,ALM,Almeria
la_liga,2008,ATHB,Ath Bilbao
la_liga,2008,ATHM,Ath Madrid
la_liga,2008,BARC,Barcelona
la_liga,2008,BET,Betis
la_liga,2008,ESP,Espanol
la_liga,2008,GET,Getafe
la_liga,2008,LAC,La Coruna
la_liga,2008,MALL,Mallorca
la_liga,2008,MLG,Malaga
la_liga,2008,NUM,Numancia
la_liga,2008,OSA,Osasuna
la_liga,2008,REC,Recreativo
la_liga,2008,RMA,Real Madrid
la_liga,2008,SAN,Santander
la_liga,2008,SEV,Sevilla
la_liga,2008,SPG,Sp Gijon
la_liga,2008,VIL,Villarreal
la_liga,2008,VLC,Valencia
la_liga,2008,VLLD,Valladolid
la_liga,2009,ALM,Almeria
la_liga,2009,ATHB,Ath Bilbao
la_liga,2009,ATHM,Ath Madrid
la_liga,2009,BARC,Barcelona
la_liga,2009,ESP,Espanol
la_liga,2009,GET,Getafe
la_liga,2009,LAC,La Coruna
la_liga,2009,MALL,Mallorca
la_liga,2009,MLG,Malaga
la_liga,2009,OSA,Osasuna
la_liga,2009,RMA,Real Madrid
la_liga,2009,SAN,Santander
la_liga,2009,SEV,Sevilla
la_liga,2009,SPG,Sp Gijon
la_liga,2009,TEN,Tenerife
la_liga,2009,VIL,Villarreal
la_liga,2009,VLC,Valencia
la_liga,2009,VLLD,Valladolid
la_liga,2009,XER,Xerez
la_liga,2009,ZAR,Zaragoza
la_liga,2010,ALM,Almeria
la_liga,2010,ATHB,Ath Bilbao
la_liga,2010,ATHM,Ath Madrid
la_liga,2010,BARC,Barcelona
la_liga,2010,ESP,Espanol
la_liga,2010,GET,Getafe
la_liga,2010,HERC,Hercules
la_liga,2010,LAC,La Coruna
la_liga,2010,LEVA,Levante
la_liga,2010,MALL,Mallorca
la_liga,2010,MLG,Malaga
la_liga,2010,OSA,Osasuna
la_liga,2010,RMA,Real Madrid
la_liga,2010,RSO,Sociedad
la_liga,2010,SAN,Santander
la_liga,2010,SEV,Sevilla
la_liga,2010,SPG,Sp Gijon
la_liga,2010,VIL,Villarreal
la_liga,2010,VLC,Valencia
la_liga,2010,ZAR,Zaragoza
la_liga,2011,ATHB,Ath Bilbao
la_liga,2011,ATHM,Ath Madrid
la_liga,2011,BARC,Barcelona
la_liga,2011,BET,Betis
la_liga,2011,ESP,Espanol
la_liga,2011,GET,Getafe
la_liga,2011,GRA,Granada
la_liga,2011,LEVA,Levante
la_liga,2011,MALL,Mallorca
la_liga,2011,MLG,Malaga
la_liga,2011,OSA,Osasuna
la_liga,2011,RAYO,Vallecano
la_liga,2011,RMA,Real Madrid
la_liga,2011,RSO,Sociedad
la_liga,2011,SAN,Santander
la_liga,2011,SEV,Sevilla
la_liga,2011,SPG,Sp Gijon
la_liga,2011,VIL,Villarreal
la_liga,2011,VLC,Valencia
la_liga,2011,ZAR,Zaragoza
la_liga,2012,ATHB,Ath Bilbao
la_liga,2012,ATHM,Ath Madrid
la_liga,2012,BARC,Barcelona
la_liga,2012,BET,Betis
la_liga,2012,CEL,Celta
la_liga,2012,ESP,Espanol
la_liga,2012,GET,Getafe
la_liga,2012,GRA,Granada
la_liga,2012,LAC,La Coruna
la_liga,2012,LEVA,Levante
la_liga,2012,MALL,Mallorca
la_liga,2012,MLG,Malaga
la_liga,2012,OSA,Osasuna
la_liga,2012,RAYO,Vallecano
la_liga,2012,RMA,Real Madrid
la_liga,2012,RSO,Sociedad
la_liga,2012,SEV,Sevilla
la_liga,2012,VLC,Valencia
la_liga,2012,VLLD,Valladolid
la_liga,2012,ZAR,Zaragoza
la_liga,2013,ALM,Almeria
la_liga,2013,ATHB,Ath Bilbao
la_liga,2013,ATHM,Ath Madrid
la_liga,2013,BARC,Barcelona
la_liga,2013,BET,Betis
la_liga,2013,CEL,Celta
la_liga,2013,ELC,Elche
la_liga,2013,ESP,Espanol
la_liga,2013,GET,Getafe
la_liga,2013,GRA,Granada
la_liga,2013,LEVA,Levante
la_liga,2013,MLG,Malaga
la_liga,2013,OSA,Osasuna
la_liga,2013,RAYO,Vallecano
la_liga,2013,RMA,Real Madrid
la_liga,2013,RSO,Sociedad
la_liga,2013,SEV,Sevilla
la_liga,2013,VIL,Villarreal
la_liga,2013,VLC,Valencia
la_liga,2013,VLLD,Valladolid
la_liga,2014,ALM,Almeria
la_liga,2014,ATHB,Ath Bilbao
la_liga,2014,ATHM,Ath Madrid
la_liga,2014,BARC,Barcelona
la_liga,2014,CEL,Celta
la_liga,2014,COR,Cordoba
la_liga,2014,EIB,Eibar
la_liga,2014,ELC,Elche
la_liga,2014,ESP,Espanol
la_liga,2014,GET,Getafe
la_liga,2014,GRA,Granada
la_liga,2014,LAC,La Coruna
la_liga,2014,LEVA,Levante
la_liga,2014,MLG,Malaga
la_liga,2014,RAYO,Vallecano
la_liga,2014,RMA,Real Madrid
la_liga,2014,RSO,Sociedad
la_liga,2014,SEV,Sevilla
la_liga,2014,VIL,Villarreal
la_liga,2014,VLC,Valencia
la_liga,2015,ATHB,Ath Bilbao
la_liga,2015,ATHM,Ath Madrid
la_liga,2015,BARC,Barcelona
la_liga,2015,BET,Betis
la_liga,2015,CEL,Celta
la_liga,2015,EIB,Eibar
la_liga,2015,ESP,Espanol
la_liga,2015,GET,Getafe
la_liga,2015,GRA,Granada
la_liga,2015,LAC,La Coruna
la_liga,2015,LASP,Las Palmas
la_liga,2015,LEVA,Levante
la_liga,2015,MLG,Malaga
la_liga,2015,RAYO,Vallecano
la_liga,2015,RMA,Real Madrid
la_liga,2015,RSO,Sociedad
la_liga,2015,SEV,Sevilla
la_liga,2015,SPG,Sp Gijon
la_liga,2015,VIL,Villarreal
la_liga,2015,VLC,Valencia
la_liga,2016,ALA,Alaves
la_liga,2016,ATHB,Ath Bilbao
la_liga,2016,ATHM,Ath Madrid
la_liga,2016,BARC,Barcelona
la_liga,2016,BET,Betis
la_liga,2016,CEL,Celta
la_liga,2016,EIB,Eibar
la_liga,2016,ESP,Espanol
la_liga,2016,GRA,Granada
la_liga,2016,LAC,La Coruna
la_liga,2016,LASP,Las Palmas
la_liga,2016,LEG,Leganes
la_liga,2016,MLG,Malaga
la_liga,2016,OSA,Osasuna
la_liga,2016,RMA,Real Madrid
la_liga,2016,RSO,Sociedad
la_liga,2016,SEV,Sevilla
la_liga,2016,SPG,Sp Gijon
la_liga,2016,VIL,Villarreal
la_liga,2016,VLC,Valencia
la_liga,2017,ALA,Alaves
la_liga,2017,ATHB,Ath Bilbao
la_liga,2017,ATHM,Ath Madrid
la_liga,2017,BARC,Barcelona
la_liga,2017,BET,Betis
la_liga,2017,CEL,Celta
la_liga,2017,EIB,Eibar
la_liga,2017,ESP,Espanol
la_liga,2017,GET,Getafe
la_liga,2017,GIR,Girona
la_liga,2017,LAC,La Coruna
la_liga,2017,LASP,Las Palmas
la_liga,2017,LEG,Leganes
la_liga,2017,LEVA,Levante
la_liga,2017,MLG,Malaga
la_liga,2017,RMA,Real Madrid
la_liga,2017,RSO,Sociedad
la_liga,2017,SEV,Sevilla
la_liga,2017,VIL,Villarreal
la_liga,2017,VLC,Valencia
la_liga,2018,ALA,Alaves
la_liga,2018,ATHB,Ath Bilbao
la_liga,2018,ATHM,Ath Madrid
la_liga,2018,BARC,Barcelona
la_liga,2018,BET,Betis
la_liga,2018,CEL,Celta
la_liga,2018,EIB,Eibar
la_liga,2018,ESP,Espanol
la_liga,2018,GET,Getafe
la_liga,2018,GIR,Girona
la_liga,2018,HUE,Huesca
la_liga,2018,LEG,Leganes
la_liga,2018,LEVA,Levante
la_liga,2018,RAYO,Vallecano
la_liga,2018,RMA,Real Madrid
la_liga,2018,RSO,Sociedad
la_liga,2018,SEV,Sevilla
la_liga,2018,VIL,Villarreal
la_liga,2018,VLC,Valencia
la_liga,2018,VLLD,Valladolid
la_liga,2019,ALA,Alaves
la_liga,2019,ATHB,Ath Bilbao
la_liga,2019,ATHM,Ath Madrid
la_liga,2019,BARC,Barcelona
la_liga,2019,BET,Betis
la_liga,2019,CEL,Celta
la_liga,2019,EIB,Eibar
la_liga,2019,ESP,Espanol
la_liga,2019,GET,Getafe
la_liga,2019,GRA,Granada
la_liga,2019,LEG,Leganes
