league,season,team,first_half_pts,second_half_pts
Bundesliga,2023,RBL,82.3529411764706,82.3529411764706
Bundesliga,2023,STU,94.11764705882354,94.11764705882354
Bundesliga,2023,UNI,17.647058823529413,17.647058823529413
Bundesliga,2023,WERB,52.94117647058824,52.94117647058824
Bundesliga,2023,WOB,35.294117647058826,35.294117647058826
Bundesliga,2024,AUG,35.294117647058826,35.294117647058826
Bundesliga,2024,BAY,100.0,100.0
Bundesliga,2024,BOC,0.0,0.0
Bundesliga,2024,DOR,82.3529411764706,82.3529411764706
Bundesliga,2024,EINF,88.23529411764706,88.23529411764706
Bundesliga,2024,FRE,76.47058823529412,76.47058823529412
Bundesliga,2024,HEI,11.764705882352942,11.764705882352942
Bundesliga,2024,HOF,17.647058823529413,17.647058823529413
Bundesliga,2024,HOLK,5.882352941176471,5.882352941176471
Bundesliga,2024,LEVK,94.11764705882354,94.11764705882354
Bundesliga,2024,M'G,47.05882352941177,47.05882352941177
Bundesliga,2024,MAI,70.58823529411765,70.58823529411765
Bundesliga,2024,RBL,64.70588235294117,64.70588235294117
Bundesliga,2024,STP,23.529411764705884,23.529411764705884
Bundesliga,2024,STU,52.94117647058824,52.94117647058824
Bundesliga,2024,UNI,29.411764705882355,29.411764705882355
Bundesliga,2024,WERB,58.82352941176471,58.82352941176471
Bundesliga,2024,WOB,41.1764705882353,41.1764705882353
La Liga,2000,ALA,52.63157894736842,52.63157894736842
La Liga,2000,ATHB,31.57894736842105,31.57894736842105
La Liga,2000,BARC,84.21052631578947,84.21052631578947
La Liga,2000,CEL,73.6842105263158,73.6842105263158
La Liga,2000,ESP,57.89473684210527,57.89473684210527
La Liga,2000,LAC,94.73684210526316,94.73684210526316
La Liga,2000,LASP,47.368421052631575,47.368421052631575
La Liga,2000,MALL,89.47368421052632,89.47368421052632
La Liga,2000,MLG,63.1578947368421,63.1578947368421
La Liga,2000,NUM,0.0,0.0
La Liga,2000,OSA,15.789473684210526,15.789473684210526
La Liga,2000,OVI,10.526315789473683,10.526315789473683
La Liga,2000,RAYO,42.10526315789473,42.10526315789473
La Liga,2000,RMA,100.0,100.0
La Liga,2000,RSO,36.8421052631579,36.8421052631579
La Liga,2000,SAN,5.263157894736842,5.263157894736842
La Liga,2000,VIL,68.42105263157895,68.42105263157895
La Liga,2000,VLC,78.94736842105262,78.94736842105262
La Liga,2000,VLLD,21.052631578947366,21.052631578947366
La Liga,2000,ZAR,26.31578947368421,26.31578947368421
La Liga,2001,ALA,68.42105263157895,68.42105263157895
La Liga,2001,ATHB,52.63157894736842,52.63157894736842
La Liga,2001,BARC,84.21052631578947,84.21052631578947
La Liga,2001,BET,73.6842105263158,73.6842105263158
La Liga,2001,CEL,78.94736842105262,78.94736842105262
La Liga,2001,ESP,31.57894736842105,31.57894736842105
La Liga,2001,LAC,94.73684210526316,94.73684210526316
La Liga,2001,LASP,10.526315789473683,10.526315789473683
La Liga,2001,MALL,21.052631578947366,21.052631578947366
La Liga,2001,MLG,57.89473684210527,57.89473684210527
La Liga,2001,OSA,15.789473684210526,15.789473684210526
La Liga,2001,RAYO,52.63157894736842,42.10526315789473
La Liga,2001,RMA,89.47368421052632,89.47368421052632
La Liga,2001,RSO,36.8421052631579,36.8421052631579
La Liga,2001,SEV,63.1578947368421,63.1578947368421
La Liga,2001,TEN,5.263157894736842,5.263157894736842
La Liga,2001,VIL,26.31578947368421,26.31578947368421
La Liga,2001,VLC,100.0,100.0
La Liga,2001,VLLD,42.10526315789473,42.10526315789473
La Liga,2001,ZAR,0.0,0.0
La Liga,2002,ALA,5.263157894736842,5.263157894736842
La Liga,2002,ATHB,68.42105263157895,68.42105263157895
La Liga,2002,ATHM,47.368421052631575,47.368421052631575
La Liga,2002,BARC,73.6842105263158,73.6842105263158
La Liga,2002,BET,63.1578947368421,63.1578947368421
La Liga,2002,CEL,84.21052631578947,84.21052631578947
La Liga,2002,ESP,15.789473684210526,15.789473684210526
La Liga,2002,LAC,89.47368421052632,89.47368421052632
La Liga,2002,MALL,57.89473684210527,57.89473684210527
La Liga,2002,MLG,31.57894736842105,31.57894736842105
La Liga,2002,OSA,42.10526315789473,42.10526315789473
La Liga,2002,RAYO,0.0,0.0
La Liga,2002,REC,10.526315789473683,10.526315789473683
La Liga,2002,RMA,100.0,100.0
La Liga,2002,RSO,94.73684210526316,94.73684210526316
La Liga,2002,SAN,21.052631578947366,21.052631578947366
La Liga,2002,SEV,52.63157894736842,52.63157894736842
La Liga,2002,VIL,26.31578947368421,26.31578947368421
La Liga,2002,VLC,78.94736842105262,78.94736842105262
La Liga,2002,VLLD,36.8421052631579,36.8421052631579
La Liga,2003,ALB,31.57894736842105,31.57894736842105
La Liga,2003,ATHB,78.94736842105262,78.94736842105262
La Liga,2003,ATHM,68.42105263157895,68.42105263157895
La Liga,2003,BARC,94.73684210526316,94.73684210526316
La Liga,2003,BET,57.89473684210527,57.89473684210527
La Liga,2003,CEL,5.263157894736842,5.263157894736842
La Liga,2003,ESP,15.789473684210526,15.789473684210526
La Liga,2003,LAC,89.47368421052632,89.47368421052632
La Liga,2003,MALL,47.368421052631575,47.368421052631575
La Liga,2003,MLG,52.63157894736842,52.63157894736842
La Liga,2003,MUR,0.0,0.0
La Liga,2003,OSA,42.10526315789473,42.10526315789473
La Liga,2003,RMA,84.21052631578947,84.21052631578947
La Liga,2003,RSO,26.31578947368421,26.31578947368421
La Liga,2003,SAN,21.052631578947366,21.052631578947366
La Liga,2003,SEV,73.6842105263158,73.6842105263158
La Liga,2003,VIL,63.1578947368421,63.1578947368421
La Liga,2003,VLC,100.0,100.0
La Liga,2003,VLLD,10.526315789473683,10.526315789473683
La Liga,2003,ZAR,36.8421052631579,36.8421052631579
La Liga,2005,ALA,10.526315789473683,10.526315789473683
La Liga,2005,ATHB,42.10526315789473,42.10526315789473
La Liga,2005,ATHM,52.63157894736842,52.63157894736842
La Liga,2005,BARC,100.0,100.0
La Liga,2005,BET,31.57894736842105,31.57894736842105
La Liga,2005,CAD,5.263157894736842,5.263157894736842
La Liga,2005,CEL,73.6842105263158,73.6842105263158
La Liga,2005,ESP,26.31578947368421,26.31578947368421
La Liga,2005,GET,57.89473684210527,57.89473684210527
La Liga,2005,LAC,63.1578947368421,63.1578947368421
La Liga,2005,MALL,36.8421052631579,36.8421052631579
La Liga,2005,MLG,0.0,0.0
La Liga,2005,OSA,78.94736842105262,78.94736842105262
La Liga,2005,RMA,94.73684210526316,94.73684210526316
La Liga,2005,RSO,15.789473684210526,15.789473684210526
La Liga,2005,SAN,21.052631578947366,21.052631578947366
La Liga,2005,SEV,84.21052631578947,84.21052631578947
La Liga,2005,VIL,68.42105263157895,68.42105263157895
La Liga,2005,VLC,89.47368421052632,89.47368421052632
La Liga,2005,ZAR,47.368421052631575,47.368421052631575
La Liga,2007,ALM,57.89473684210527,57.89473684210527
La Liga,2007,ATHB,47.368421052631575,47.368421052631575
La Liga,2007,ATHM,78.94736842105262,78.94736842105262
La Liga,2007,BARC,89.47368421052632,89.47368421052632
La Liga,2007,BET,31.57894736842105,31.57894736842105
