season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2018,TOR,63,16,15,7,52,37,15,7
2018,LAZ,59,17,8,13,56,46,10,8
2018,SAM,53,15,8,15,60,51,9,9
2018,BOLG,44,11,11,16,48,56,-8,10
2018,SAS,43,9,16,13,53,60,-7,11
2018,UDI,43,11,10,17,39,53,-14,12
2018,SPA,42,11,9,18,44,56,-12,13
2018,FIO,41,8,17,13,47,45,2,14
2018,CAG,41,10,11,17,36,54,-18,15
2018,PAR,41,10,11,17,41,61,-20,16
2018,GEN,38,8,14,16,39,57,-18,17
2018,EMP,38,10,8,20,51,70,-19,18
2018,FRO,25,5,10,23,29,69,-40,19
2018,CHI,20,2,14,22,25,75,-50,20
2019,JUV,83,26,5,7,76,43,33,1
2019,INT,82,24,10,4,81,36,45,2
2019,ATA,78,23,9,6,98,48,50,3
2019,LAZ,78,24,6,8,79,42,37,4
2019,ROM,70,21,7,10,77,51,26,5
2019,MIL,66,19,9,10,63,46,17,6
2019,NAP,62,18,8,12,61,50,11,7
2019,SAS,51,14,9,15,69,63,6,8
2019,FIO,49,12,13,13,51,48,3,9
2019,PAR,49,14,7,17,56,57,-1,10
2019,VER,49,12,13,13,47,51,-4,11
2019,BOLG,47,12,11,15,52,65,-13,12
2019,CAG,45,11,12,15,52,56,-4,13
2019,UDI,45,12,9,17,37,51,-14,14
2019,SAM,42,12,6,20,48,65,-17,15
2019,TOR,40,11,7,20,46,68,-22,16
2019,GEN,39,10,9,19,47,73,-26,17
2019,LEC,35,9,8,21,52,85,-33,18
2019,BRES,25,6,7,25,35,79,-44,19
2019,SPA,20,5,5,28,27,77,-50,20
2020,INT,91,28,7,3,89,35,54,1
2020,MIL,79,24,7,7,74,41,33,2
2020,ATA,78,23,9,6,90,47,43,3
2020,JUV,78,23,9,6,77,38,39,4
2020,NAP,77,24,5,9,86,41,45,5
2020,LAZ,68,21,5,12,61,55,6,6
2020,ROM,63,18,9,11,68,55,13,7
2020,SAS,62,17,11,10,64,56,8,8
2020,SAM,52,15,7,16,52,54,-2,9
2020,VER,43,10,13,15,43,48,-5,10
2020,GEN,42,10,12,16,47,58,-11,11
2020,BOLG,41,10,11,17,51,65,-14,12
2020,FIO,40,9,13,16,47,59,-12,13
2020,UDI,40,10,10,18,42,58,-16,14
2020,SPE,39,9,12,17,52,72,-20,15
2020,CAG,37,9,10,19,43,59,-16,16
2020,TOR,37,7,16,15,50,69,-19,17
2020,BEN,33,7,12,19,40,75,-35,18
2020,CRO,23,6,5,27,45,92,-47,19
2020,PAR,20,3,11,24,39,83,-44,20
2021,MIL,86,26,8,4,69,31,38,1
2021,INT,84,25,9,4,84,32,52,2
2021,NAP,79,24,7,7,74,31,43,3
2021,JUV,70,20,10,8,57,37,20,4
2021,LAZ,64,18,10,10,77,58,19,5
2021,ROM,63,18,9,11,59,43,16,6
2021,FIO,62,19,5,14,59,51,8,7
2021,ATA,59,16,11,11,65,48,17,8
2021,VER,53,14,11,13,65,59,6,9
2021,TOR,50,13,11,14,46,41,5,10
2021,SAS,50,13,11,14,64,66,-2,11
2021,UDI,47,11,14,13,61,58,3,12
2021,BOLG,46,12,10,16,44,55,-11,13
2021,EMP,41,10,11,17,50,70,-20,14
2021,SAM,36,10,6,22,46,63,-17,15
2021,SPE,36,10,6,22,41,71,-30,16
2021,SAL,31,7,10,21,33,78,-45,17
2021,CAG,30,6,12,20,34,68,-34,18
2021,GEN,28,4,16,18,27,60,-33,19
2021,VEN,27,6,9,23,34,69,-35,20
2022,NAP,90,28,6,4,77,28,49,1
2022,LAZ,74,22,8,8,60,30,30,2
2022,INT,72,23,3,12,71,42,29,3
2022,JUV,72,22,6,10,56,33,23,4
2022,MIL,70,20,10,8,64,43,21,5
2022,ATA,64,19,7,12,66,48,18,6
2022,ROM,63,18,9,11,50,38,12,7
2022,FIO,56,15,11,12,53,43,10,8
2022,BOLG,54,14,12,12,53,49,4,9
2022,TOR,53,14,11,13,42,41,1,10
2022,MON,52,14,10,14,48,52,-4,11
2022,UDI,46,11,13,14,47,48,-1,12
2022,SAS,45,12,9,17,47,61,-14,13
2022,EMP,43,10,13,15,37,49,-12,14
2022,SAL,42,9,15,14,48,62,-14,15
2022,LEC,36,8,12,18,33,46,-13,16
2022,VER,31,7,10,21,31,59,-28,17
2022,SPE,31,6,13,19,31,62,-31,18
2022,CRE,27,5,12,21,36,69,-33,19
2022,SAM,19,3,10,25,24,71,-47,20
2023,INT,94,29,7,2,89,22,67,1
2023,MIL,75,22,9,7,76,49,27,2
2023,JUV,71,19,14,5,54,31,23,3
2023,ATA,69,21,6,11,72,42,30,4
2023,BOLG,68,18,14,6,54,32,22,5
2023,ROM,63,18,9,11,65,46,19,6
2023,LAZ,61,18,7,13,49,39,10,7
2023,FIO,60,17,9,12,61,46,15,8
2023,NAP,53,13,14,11,55,48,7,9
2023,TOR,53,13,14,11,36,36,0,10
2023,GEN,49,12,13,13,45,45,0,11
2023,MON,45,11,12,15,39,51,-12,12
2023,VER,38,9,11,18,38,51,-13,13
2023,LEC,38,8,14,16,32,54,-22,14
2023,UDI,37,6,19,13,37,53,-16,15
2023,EMP,36,9,9,20,29,54,-25,16
2023,CAG,36,8,12,18,42,68,-26,17
2023,FRO,35,8,11,19,44,69,-25,18
2023,SAS,30,7,9,22,43,75,-32,19
2023,SAL,17,2,11,25,32,81,-49,20
2024,NAP,82,24,10,4,59,27,32,1
2024,INT,81,24,9,5,79,35,44,2
2024,ATA,74,22,8,8,78,37,41,3
2024,JUV,70,18,16,4,58,35,23,4
2024,ROM,69,20,9,9,56,35,21,5
2024,FIO,65,19,8,11,60,41,19,6
2024,LAZ,65,18,11,9,61,49,12,7
2024,MIL,63,18,9,11,61,43,18,8
2024,BOLG,62,16,14,8,57,47,10,9
2024,COM,49,13,10,15,49,52,-3,10
2024,TOR,44,10,14,14,39,45,-6,11
2024,UDI,44,12,8,18,41,56,-15,12
2024,GEN,43,10,13,15,37,49,-12,13
2024,VER,37,10,7,21,34,66,-32,14
2024,PAR,36,7,15,16,44,58,-14,15
2024,CAG,36,9,9,20,40,56,-16,16
2024,LEC,34,8,10,20,27,58,-31,17
2024,EMP,31,6,13,19,33,59,-26,18
2024,VEN,29,5,14,19,32,56,-24,19
2024,MON,18,3,9,26,28,69,-41,20
