Season,Team_Standardized,Team_Full_Name
2016,WOL,Wolfsburg
2017,AUG,Augsburg
2017,BAY,Bayern Munich
2017,DOR,Dortmund
2017,EINF,Ein Frankfurt
2017,KOL,FC Koln
2017,FRE,Freiburg
2017,HAM,Hamburg
2017,HAN,Hannover
2017,HER,Hertha
2017,HOF,Hoffenheim
2017,LEV,Leverkusen
2017,MGL,MGladbach
2017,MAI,Mainz
2017,LEI,RB Leipzig
2017,SCH,Schalke 04
2017,STU,Stuttgart
2017,WERB,Werder Bremen
2017,WOL,Wolfsburg
2018,AUG,Augsburg
2018,BAY,Bayern Munich
2018,DOR,Dortmund
2018,EINF,Ein Frankfurt
2018,FORD,Fortuna Dusseldorf
2018,FRE,Freiburg
2018,HAN,Hannover
2018,HER,Hertha
2018,HOF,Hoffenheim
2018,LEV,Leverkusen
2018,MGL,MGladbach
2018,MAI,Mainz
2018,NUR,Nurnberg
2018,LEI,RB Leipzig
2018,SCH,Schalke 04
2018,STU,Stuttgart
2018,WERB,Werder Bremen
2018,WOL,Wolfsburg
2019,AUG,Augsburg
2019,BAY,Bayern Munich
2019,DOR,Dortmund
2019,EINF,Ein Frankfurt
2019,KOL,FC Koln
2019,FORD,Fortuna Dusseldorf
2019,FRE,Freiburg
2019,HER,Hertha
2019,HOF,Hoffenheim
2019,LEV,Leverkusen
2019,MGL,MGladbach
2019,MAI,Mainz
2019,PAD,Paderborn
2019,LEI,RB Leipzig
2019,SCH,Schalke 04
2019,UNI,Union Berlin
2019,WERB,Werder Bremen
2019,WOL,Wolfsburg
2020,AUG,Augsburg
2020,BAY,Bayern Munich
2020,BIE,Bielefeld
2020,DOR,Dortmund
2020,EINF,Ein Frankfurt
2020,KOL,FC Koln
2020,FRE,Freiburg
2020,HER,Hertha
2020,HOF,Hoffenheim
2020,LEV,Leverkusen
2020,MGL,MGladbach
2020,MAI,Mainz
2020,LEI,RB Leipzig
2020,SCH,Schalke 04
2020,STU,Stuttgart
2020,UNI,Union Berlin
2020,WERB,Werder Bremen
2020,WOL,Wolfsburg
2021,AUG,Augsburg
2021,BAY,Bayern Munich
2021,BIE,Bielefeld
2021,BOC,Bochum
2021,DOR,Dortmund
2021,EINF,Ein Frankfurt
2021,KOL,FC Koln
2021,FRE,Freiburg
2021,GREF,Greuther Furth
2021,HER,Hertha
2021,HOF,Hoffenheim
2021,LEV,Leverkusen
2021,MGL,MGladbach
2021,MAI,Mainz
2021,LEI,RB Leipzig
2021,STU,Stuttgart
2021,UNI,Union Berlin
2021,WOL,Wolfsburg
2022,AUG,Augsburg
2022,BAY,Bayern Munich
2022,BOC,Bochum
2022,DOR,Dortmund
2022,EINF,Ein Frankfurt
2022,KOL,FC Koln
2022,FRE,Freiburg
2022,HER,Hertha
2022,HOF,Hoffenheim
2022,LEV,Leverkusen
2022,MGL,MGladbach
2022,MAI,Mainz
2022,LEI,RB Leipzig
2022,SCH,Schalke 04
2022,STU,Stuttgart
2022,UNI,Union Berlin
2022,WERB,Werder Bremen
2022,WOL,Wolfsburg
2023,AUG,Augsburg
2023,BAY,Bayern Munich
2023,BOC,Bochum
2023,DAR,Darmstadt
2023,DOR,Dortmund
2023,EINF,Ein Frankfurt
2023,KOL,FC Koln
2023,FRE,Freiburg
2023,HEI,Heidenheim
2023,HOF,Hoffenheim
2023,LEV,Leverkusen
2023,MGL,MGladbach
2023,MAI,Mainz
2023,LEI,RB Leipzig
2023,STU,Stuttgart
2023,UNI,Union Berlin
2023,WERB,Werder Bremen
2023,WOL,Wolfsburg
2024,AUG,Augsburg
2024,BAY,Bayern Munich
2024,BOC,Bochum
2024,DOR,Dortmund
2024,EINF,Ein Frankfurt
2024,FRE,Freiburg
2024,HEI,Heidenheim
2024,HOF,Hoffenheim
2024,HOLK,Holstein Kiel
2024,LEV,Leverkusen
2024,M'G,M'gladbach
2024,MGL,MGladbach
2024,MAI,Mainz
2024,LEI,RB Leipzig
2024,STP,St Pauli
2024,STU,Stuttgart
2024,UNI,Union Berlin
2024,WERB,Werder Bremen
2024,WOL,Wolfsburg
