league,season,n_teams,spearman_r,spearman_p
NBA,1992,27,0.6914339651775798,6.497672639339373e-05
NBA,1993,27,0.7869688895842955,1.1226801516695418e-06
NBA,1994,27,0.8128350531854879,2.588121481325328e-07
NBA,1995,29,0.8502905244849112,5.256574496979314e-09
NBA,1996,29,0.8622096160531065,1.8468517308640066e-09
NBA,1997,29,0.9416582505759464,2.738455560284652e-14
NBA,1998,29,0.6904475609964307,3.395060520064785e-05
NBA,1999,29,0.7877737964042006,3.9363724247899387e-07
NBA,2000,29,0.7365818363526889,5.220953107006505e-06
NBA,2001,29,0.6595747627901849,9.942090958557874e-05
NBA,2002,29,0.629021230263315,0.000257168193451
NBA,2003,29,0.6955715205450248,2.8048954129621133e-05
NBA,2004,30,0.5721044583152767,0.0009559435880472
NBA,2005,30,0.7803488372267413,3.669965312126801e-07
NBA,2006,30,0.5961323496534765,0.0005083373677011
NBA,2007,30,0.8063507067580454,7.480393287503963e-08
NBA,2008,30,0.8654231429693717,6.745147909323685e-10
NBA,2009,30,0.7425731701880737,2.6209566672555448e-06
NBA,2010,30,0.74737783606206,2.080404975542929e-06
NBA,2011,30,0.6523313858844779,9.3728170418581e-05
NBA,2012,30,0.7730899480013792,5.510038718204168e-07
NBA,2013,30,0.7543546225993746,1.473969846183023e-06
NBA,2014,30,0.6333411664229277,0.000172207344062
NBA,2015,30,0.7643711425923765,8.807474329684316e-07
NBA,2016,30,0.6457638731537665,0.0001162124177619
NBA,2017,30,0.6027091507191944,0.0004239032707716
NBA,2018,30,0.7500000188184093,1.8300607603303704e-06
NBA,2019,30,0.7461487125014779,2.2081001447471654e-06
NBA,2020,30,0.7132155635062611,9.712845651596875e-06
NBA,2021,30,0.586288066943116,0.0006623720043267
NBA,2022,30,0.5791304726667565,0.0007987491184598
NBA,2023,30,0.715515761131601,8.816635533421266e-06
NBA,2024,30,0.7554808185667019,1.3927444787839334e-06
MLB,1949,17,0.7340294840294839,0.0007948459796998
MLB,1950,11,0.8430123260851314,0.001117434529041
MLB,1951,10,0.6439906260034909,0.0444820052000428
MLB,1952,10,0.7500139429824981,0.0124753208388896
MLB,1953,9,0.7372881355932204,0.0234021655883273
MLB,1954,8,0.4545538027176646,0.2578339358004932
MLB,1955,8,0.078086880944303,0.8541811838932193
MLB,1956,8,-0.2822138999690523,0.4982736738969311
MLB,1957,8,0.4819626927118799,0.2265105557960853
MLB,1958,8,0.745122224799006,0.0338844360269055
MLB,1959,8,0.8734939759036143,0.0045933584238803
MLB,1960,8,0.7185757571479554,0.0446226100244191
MLB,1961,9,0.9279661016949152,0.0003076821981731
MLB,1962,9,0.8487394957983194,0.0038099535994344
MLB,1963,9,0.8017519989412359,0.0093530809726384
MLB,1964,9,0.8565477091591587,0.0031903339792093
MLB,1965,9,0.7782494901428224,0.0135059728100068
MLB,1966,10,0.6116236550659085,0.0602386481649533
MLB,1967,12,0.7235960350022186,0.0078108134843238
MLB,1968,14,0.7922188267203045,0.0007302706134213
MLB,1969,14,0.5784294135042938,0.0302388695404386
MLB,1970,17,0.6239277130118611,0.0074354580339074
MLB,1971,17,0.8480622814176615,1.704459453682499e-05
MLB,1972,17,0.8800744664839042,3.185053680309972e-06
MLB,1973,17,0.810179309366352,8.05381632966515e-05
MLB,1974,18,0.6738687251501462,0.0021669511009233
MLB,1975,18,0.4885654885654887,0.0396572977492852
MLB,1976,22,0.5035759249151822,0.0168804819243976
MLB,1977,22,0.5147916156753942,0.0142255193429888
MLB,1978,22,0.477984292717669,0.0244512667230971
MLB,1979,22,0.9072678776022404,5.761427326707751e-09
MLB,1980,23,0.8234424027825835,1.390348475501137e-06
MLB,1981,23,0.7594942557302109,2.6336714896643795e-05
MLB,1982,23,0.7046863593764033,0.0001739379216436
MLB,1983,23,0.7729993683421176,1.5319439490332118e-05
MLB,1984,23,0.6651774838790541,0.0005336431643588
MLB,1985,23,0.6544597170788535,0.0007037251481421
MLB,1986,23,0.9093847582241994,1.8751529587871634e-09
