league,season,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_seed_2,upset_frequency_seed_2,total_upsets_seed_3,upset_frequency_seed_3,total_upsets_seed_4,upset_frequency_seed_4,total_upsets_seed_5,upset_frequency_seed_5,total_upsets_seed_6,upset_frequency_seed_6,total_upsets_seed_7,upset_frequency_seed_7,total_upsets_seed_8,upset_frequency_seed_8,total_upsets_seed_9,upset_frequency_seed_9,total_upsets_seed_10,upset_frequency_seed_10,total_upsets_avg,upset_frequency_avg
la_liga,2008,380,168.0,0.4421052631578947,163.0,0.42894736842105263,167.0,0.4394736842105263,160.0,0.42105263157894735,156.5,0.4118421052631579,152.5,0.40131578947368424,161.5,0.425,165.0,0.4342105263157895,159.0,0.41842105263157897,157.0,0.4131578947368421,160.95,0.4235526315789474
la_liga,2009,380,159.5,0.41973684210526313,155.0,0.40789473684210525,160.5,0.42236842105263156,158.0,0.41578947368421054,170.0,0.4473684210526316,157.0,0.4131578947368421,167.5,0.4407894736842105,156.0,0.4105263157894737,167.5,0.4407894736842105,160.0,0.42105263157894735,161.1,0.4239473684210527
la_liga,2010,380,171.0,0.45,157.5,0.4144736842105263,169.5,0.44605263157894737,168.0,0.4421052631578947,156.5,0.4118421052631579,162.0,0.4263157894736842,162.0,0.4263157894736842,170.5,0.4486842105263158,159.0,0.41842105263157897,170.5,0.4486842105263158,164.65,0.4332894736842105
la_liga,2011,380,172.5,0.45394736842105265,158.0,0.41578947368421054,165.0,0.4342105263157895,166.0,0.4368421052631579,170.5,0.4486842105263158,164.5,0.4328947368421053,165.0,0.4342105263157895,168.0,0.4421052631578947,159.5,0.41973684210526313,158.0,0.41578947368421054,164.7,0.4334210526315789
la_liga,2012,380,163.5,0.43026315789473685,159.5,0.41973684210526313,155.5,0.40921052631578947,164.0,0.43157894736842106,164.0,0.43157894736842106,154.0,0.4052631578947368,164.0,0.43157894736842106,160.5,0.42236842105263156,169.0,0.44473684210526315,149.5,0.39342105263157895,160.35,0.4219736842105263
la_liga,2013,380,169.0,0.44473684210526315,159.5,0.41973684210526313,166.5,0.4381578947368421,154.0,0.4052631578947368,162.0,0.4263157894736842,158.0,0.41578947368421054,157.0,0.4131578947368421,169.0,0.44473684210526315,165.0,0.4342105263157895,168.0,0.4421052631578947,162.8,0.4284210526315789
la_liga,2014,380,146.5,0.38552631578947366,157.0,0.4131578947368421,152.0,0.4,153.0,0.4026315789473684,169.0,0.44473684210526315,153.5,0.4039473684210526,153.0,0.4026315789473684,154.0,0.4052631578947368,150.5,0.3960526315789474,158.0,0.41578947368421054,154.65,0.40697368421052627
la_liga,2015,380,152.0,0.4,179.5,0.4723684210526316,153.5,0.4039473684210526,177.0,0.46578947368421053,159.0,0.41842105263157897,166.0,0.4368421052631579,152.5,0.40131578947368424,159.5,0.41973684210526313,147.5,0.3881578947368421,159.0,0.41842105263157897,160.55,0.42250000000000004
la_liga,2016,380,163.0,0.42894736842105263,166.0,0.4368421052631579,165.0,0.4342105263157895,160.0,0.42105263157894735,167.0,0.4394736842105263,159.5,0.41973684210526313,167.0,0.4394736842105263,173.0,0.45526315789473687,163.5,0.43026315789473685,163.5,0.43026315789473685,164.75,0.43355263157894736
la_liga,2017,380,170.5,0.4486842105263158,169.5,0.44605263157894737,167.5,0.4407894736842105,158.5,0.41710526315789476,162.5,0.4276315789473684,147.0,0.3868421052631579,160.5,0.42236842105263156,148.5,0.3907894736842105,160.5,0.42236842105263156,165.0,0.4342105263157895,161.0,0.4236842105263158
la_liga,2018,380,160.5,0.42236842105263156,154.5,0.40657894736842104,151.5,0.3986842105263158,158.5,0.41710526315789476,158.0,0.41578947368421054,171.0,0.45,149.5,0.39342105263157895,176.0,0.4631578947368421,165.0,0.4342105263157895,155.5,0.40921052631578947,160.0,0.42105263157894746
la_liga,2019,380,157.0,0.4131578947368421,166.0,0.4368421052631579,162.5,0.4276315789473684,163.5,0.43026315789473685,164.5,0.4328947368421053,157.5,0.4144736842105263,168.0,0.4421052631578947,164.0,0.43157894736842106,163.5,0.43026315789473685,161.0,0.4236842105263158,162.75,0.42828947368421055
la_liga,2020,380,163.0,0.42894736842105263,160.0,0.42105263157894735,167.5,0.4407894736842105,164.0,0.43157894736842106,146.5,0.38552631578947366,156.5,0.4118421052631579,159.5,0.41973684210526313,155.5,0.40921052631578947,164.0,0.43157894736842106,152.5,0.40131578947368424,158.9,0.4181578947368421
la_liga,2021,380,177.0,0.46578947368421053,163.5,0.43026315789473685,160.0,0.42105263157894735,159.5,0.41973684210526313,151.5,0.3986842105263158,143.5,0.37763157894736843,147.5,0.3881578947368421,165.0,0.4342105263157895,160.0,0.42105263157894735,155.0,0.40789473684210525,158.25,0.4164473684210527
la_liga,2022,380,147.5,0.3881578947368421,159.5,0.41973684210526313,151.5,0.3986842105263158,155.0,0.40789473684210525,172.5,0.45394736842105265,162.0,0.4263157894736842,159.0,0.41842105263157897,150.0,0.39473684210526316,168.0,0.4421052631578947,164.0,0.43157894736842106,158.9,0.4181578947368421
la_liga,2023,380,163.0,0.42894736842105263,156.5,0.4118421052631579,160.0,0.42105263157894735,165.5,0.4355263157894737,166.5,0.4381578947368421,159.0,0.41842105263157897,159.0,0.41842105263157897,172.5,0.45394736842105265,159.5,0.41973684210526313,170.5,0.4486842105263158,163.2,0.42947368421052634
la_liga,2024,380,151.0,0.3973684210526316,163.0,0.42894736842105263,161.0,0.4236842105263158,167.5,0.4407894736842105,150.5,0.3960526315789474,159.5,0.41973684210526313,170.0,0.4473684210526316,166.0,0.4368421052631579,173.0,0.45526315789473687,158.5,0.41710526315789476,162.0,0.42631578947368426
premier_league,2001,380,167.5,0.4407894736842105,158.5,0.41710526315789476,158.0,0.41578947368421054,171.0,0.45,162.5,0.4276315789473684,155.0,0.40789473684210525,165.5,0.4355263157894737,162.0,0.4263157894736842,163.5,0.43026315789473685,163.0,0.42894736842105263,162.65,0.4280263157894737
