league,season,n_teams,spearman_r_actual,spearman_r_skill,spearman_r_luck_results_avg,spearman_r_luck_goals_avg,q_results,q_goals
La Liga,2014,20,0.6713215194838327,1.0,0.1052624199733461,0.1392796875454423,0.6326537659160621,0.6181355595305297
La Liga,2015,20,0.4517346684293969,1.0,0.0817861075172929,-0.091539867901997,0.4029001999869778,0.49771387404804474
La Liga,2016,20,0.8174279093028914,0.9988713318284422,-0.044748238453426,-0.0793958303855108,0.8261402644293597,0.831726840171037
La Liga,2017,20,0.8021936459909228,1.0,0.1448089137453067,-0.1733996466380901,0.7686992332025238,0.8314245665781369
La Liga,2018,20,0.4729501503105404,1.0,-0.1082707043333397,-0.0128710197580056,0.5244394283556407,0.47964761612452694
La Liga,2019,20,0.7771499069288329,1.0,0.0105751547284434,0.1424667703469391,0.7747680441458857,0.740126580096112
La Liga,2020,20,0.6291969324952575,0.9977409638554215,0.018732920759979,0.0057132602705957,0.6235536225066182,0.6284942143970572
La Liga,2021,20,0.5173453996983408,0.9988713318284422,0.0806665252622033,0.0767785071506669,0.47557894634549125,0.477790175519075
La Liga,2022,20,0.7371824002666032,1.0,0.0576830254122483,-0.1312946100697183,0.721094274197517,0.7676842111736039
La Liga,2023,20,0.6557315233785823,1.0,-0.0532047965595519,0.0261990517957148,0.6731229503074604,0.6464693557176567
La Liga,2024,20,0.4667675047369649,1.0,-0.1029887621914271,-0.0799402741265246,0.5165567288250477,0.5062389022445494
Premier League,2001,20,0.7041509433962265,0.9913349616430016,0.0746703752425026,-0.0981133831069706,0.6867076327509594,0.736395011630695
Premier League,2002,20,0.5456313893874642,0.9909406128218629,-0.0013132986789065,0.1181640599759564,0.5512144439311154,0.4897786587158461
Premier League,2005,20,0.5904115180975678,0.969033509025123,-0.0250574414288738,0.0787368156750982,0.6191274140915977,0.5747238041479528
Premier League,2006,20,0.6807707323735889,0.9988713318284422,0.0967987069131122,0.0600547245626414,0.647366973934376,0.6611685424043722
Premier League,2007,20,0.6729637962656961,0.9784830736892448,-0.0411913365969826,0.0634866878829975,0.7003756548741985,0.6660978314637375
