league,season,upset_frequency_actual,upset_frequency_skill,upset_frequency_luck_results_avg,upset_frequency_luck_goals_avg,q_results,q_goals
Bundesliga,2020,0.3447712418300653,0.0,0.4174836601307189,0.4006535947712418,0.17416829745596876,0.1394779771615009
Bundesliga,2021,0.3447712418300653,0.0,0.4178104575163399,0.4019607843137255,0.17481423543214722,0.14227642276422783
Bundesliga,2022,0.3480392156862745,0.0,0.4063725490196078,0.4068627450980392,0.14354644149577797,0.14457831325301207
Bundesliga,2023,0.3055555555555556,0.0,0.4331699346405228,0.4104575163398692,0.2946058091286305,0.2555732484076431
Bundesliga,2024,0.3398692810457516,0.0,0.413235294117647,0.4202614379084967,0.17754052985369706,0.19129082426127528
La Liga,2000,0.3697368421052631,0.0,0.4292105263157895,0.3628947368421052,0.1385652973635808,0.0
La Liga,2001,0.406578947368421,0.0,0.4313157894736842,0.3784210526315789,0.05735204392922529,0.0
La Liga,2002,0.3986842105263158,0.0,0.424078947368421,0.401578947368421,0.05988209742475938,0.007208387942332671
La Liga,2003,0.3618421052631579,0.0,0.4205263157894737,0.38,0.13954943679599496,0.047783933518005514
La Liga,2005,0.3671052631578947,0.0,0.423157894736842,0.3994736842105263,0.13246268656716403,0.08102766798418978
La Liga,2007,0.3618421052631579,0.0,0.4207894736842105,0.3955263157894737,0.14008755472170095,0.085163007318696
La Liga,2008,0.3592105263157895,0.0,0.4235526315789474,0.3857894736842105,0.1519105312208761,0.06889495225102316
La Liga,2009,0.3539473684210526,0.0,0.4239473684210527,0.3786842105263157,0.1651148355058971,0.06532314107018738
La Liga,2010,0.3460526315789474,0.0,0.4332894736842105,0.3871052631578948,0.20133616762830236,0.10605030591434404
La Liga,2011,0.3789473684210526,0.0,0.4334210526315789,0.3789473684210526,0.12568306010928956,-0.0
La Liga,2012,0.3394736842105263,0.0,0.4219736842105263,0.3826315789473684,0.19550982226379787,0.11279229711141668
La Liga,2013,0.3263157894736842,0.0,0.4284210526315789,0.4036842105263158,0.23832923832923825,0.19165580182529335
La Liga,2014,0.3144736842105263,0.0,0.4069736842105262,0.3794736842105263,0.22728742321370823,0.17128987517337033
La Liga,2015,0.35,0.0,0.4225,0.3860526315789474,0.1715976331360947,0.09338786639400155
La Liga,2016,0.2986842105263158,0.0,0.4335526315789473,0.4084210526315789,0.3110773899848254,0.26868556701030927
La Liga,2017,0.3184210526315789,0.0,0.4236842105263158,0.3823684210526316,0.24844720496894424,0.16724019270474896
La Liga,2018,0.3736842105263158,0.0,0.4210526315789474,0.3910526315789473,0.11250000000000007,0.044414535666217926
La Liga,2019,0.3276315789473684,0.0,0.4282894736842105,0.3865789473684211,0.23502304147465441,0.15248468345813493
La Liga,2020,0.3171052631578947,0.0,0.4181578947368421,0.3844736842105263,0.24166142227816242,0.17522245037645448
La Liga,2021,0.325,0.0,0.4164473684210527,0.4007894736842105,0.2195892575039495,0.18910045961917255
La Liga,2022,0.356578947368421,0.0,0.4181578947368421,0.3802631578947368,0.14726242920075536,0.062283737024221505
La Liga,2023,0.3092105263157895,0.0,0.4294736842105263,0.3857894736842105,0.28002450980392146,0.1984993178717598
La Liga,2024,0.3197368421052631,0.0,0.4263157894736842,0.3836842105263158,0.2500000000000001,0.16666666666666682
Premier League,2001,0.3381578947368421,0.0,0.4280263157894737,0.4039473684210526,0.20996003688902556,0.1628664495114006
Premier League,2002,0.3421052631578947,0.0,0.4219736842105263,0.3913157894736842,0.18927346429685069,0.12575655682582385
Premier League,2005,0.2960526315789473,0.0,0.4238157894736842,0.3821052631578948,0.30145917416951273,0.22520661157024824
Premier League,2006,0.3552631578947368,0.0,0.4277631578947368,0.3855263157894737,0.16948631190402957,0.0784982935153586
Premier League,2007,0.2973684210526315,0.0,0.4319736842105263,0.38,0.31160523911056975,0.21745152354570657
Premier League,2008,0.3171052631578947,0.0,0.4342105263157895,0.386578947368421,0.26969696969696977,0.17971409121851598
Premier League,2009,0.3078947368421053,0.0,0.4196052631578947,0.373421052631579,0.2662276575729068,0.17547568710359412
Premier League,2010,0.3907894736842105,0.0,0.426578947368421,0.3889473684210526,0.08389882788402211,0.0
Premier League,2011,0.3434210526315789,0.0,0.4232894736842105,0.4,0.18868511035125898,0.1414473684210528
Premier League,2012,0.3368421052631579,0.0,0.4176315789473683,0.4126315789473684,0.19344675488342764,0.18367346938775508
Premier League,2013,0.3052631578947368,0.0,0.4171052631578947,0.3928947368421053,0.2681388012618297,0.22304085733422657
Premier League,2014,0.3592105263157895,0.0,0.419078947368421,0.3960526315789473,0.14285714285714274,0.09302325581395336
Premier League,2015,0.3539473684210526,0.0,0.4228947368421052,0.4071052631578947,0.163036714374611,0.1305753070458952
Premier League,2016,0.3,0.0,0.4182894736842105,0.3826315789473684,0.2827933312362378,0.21595598349381012
Premier League,2017,0.3197368421052631,0.0,0.4132894736842105,0.4010526315789473,0.22636103151862472,0.20275590551181108
Premier League,2018,0.2986842105263158,0.0,0.4232894736842104,0.3913157894736842,0.29437364003730165,0.23671822461331538
Premier League,2019,0.3210526315789473,0.0,0.425921052631579,0.4039473684210526,0.24621563175780062,0.2052117263843649
Premier League,2020,0.3434210526315789,0.0,0.423157894736842,0.4055263157894736,0.18843283582089546,0.15314730694354314
Premier League,2021,0.3157894736842105,0.0,0.4196052631578947,0.4097368421052632,0.2474129821260583,0.22928709055876695
Premier League,2022,0.3223684210526316,0.0,0.425,0.3826315789473684,0.2414860681114551,0.15749656121045383
Premier League,2023,0.3236842105263158,0.0,0.4222368421052631,0.4002631578947368,0.23340604549703942,0.19132149901380666
Premier League,2024,0.3197368421052631,0.0,0.4294736842105262,0.3889473684210526,0.2555147058823528,0.17794316644113675
Serie A,2000,0.3333333333333333,0.0,0.4189542483660131,0.3937908496732026,0.20436817472698915,0.15352697095435686
Serie A,2001,0.3316993464052287,0.0,0.4225490196078431,0.3862745098039216,0.2150038669760248,0.1412859560067684
Serie A,2002,0.369281045751634,0.0,0.4276143790849673,0.3964052287581699,0.13641574321742445,0.06842539159109635
Serie A,2005,0.3263157894736842,0.0,0.4288157894736842,0.3955263157894736,0.23903037741638536,0.1749833666001329
Serie A,2006,0.3368421052631579,0.0,0.4303947368421053,0.3902631578947368,0.21736472026903092,0.13688469318948074
Serie A,2007,0.3710526315789473,0.0,0.4211842105263158,0.3971052631578947,0.11902530459231514,0.06560636182902589
Serie A,2008,0.3592105263157895,0.0,0.423421052631579,0.3876315789473684,0.15164698570540713,0.07331975560081455
Serie A,2009,0.3736842105263158,0.0,0.4285526315789473,0.3723684210526315,0.1280319312250536,0.0
Serie A,2010,0.3618421052631579,0.0,0.4321052631578947,0.3792105263157895,0.16260657734470152,0.04580152671755727
Serie A,2011,0.3486842105263157,0.0,0.4275,0.3905263157894736,0.18436441982148372,0.10714285714285718
Serie A,2012,0.3473684210526316,0.0,0.4218421052631578,0.391578947368421,0.17654398003742958,0.11290322580645148
Serie A,2013,0.3078947368421053,0.0,0.4264473684210526,0.3905263157894736,0.27800061709348955,0.2115902964959567
Serie A,2014,0.3526315789473684,0.0,0.4310526315789474,0.4060526315789474,0.18192918192918203,0.13156189241736885
Serie A,2015,0.3276315789473684,0.0,0.4194736842105263,0.3923684210526316,0.2189460476787955,0.16498993963782707
Serie A,2016,0.3105263157894737,0.0,0.4257894736842106,0.3944736842105263,0.2707045735475897,0.2128085390260173
Serie A,2017,0.2960526315789473,0.0,0.436578947368421,0.4028947368421052,0.32188065099457513,0.2651861528412803
Serie A,2018,0.3131578947368421,0.0,0.4211842105263158,0.3984210526315789,0.25648234926585456,0.214002642007926
Serie A,2019,0.3092105263157895,0.0,0.4275,0.3955263157894737,0.2767005232379193,0.2182302062541584
Serie A,2020,0.2907894736842105,0.0,0.431578947368421,0.4155263157894737,0.32621951219512196,0.3001899936668779
Serie A,2021,0.3105263157894737,0.0,0.4260526315789473,0.4044736842105263,0.27115503397158724,0.232270657124268
Serie A,2022,0.3289473684210526,0.0,0.429078947368421,0.3897368421052631,0.23336399877338238,0.15597569209993245
Serie A,2023,0.2947368421052631,0.0,0.4282894736842105,0.4044736842105263,0.3118279569892475,0.2713077423552377
Serie A,2024,0.3026315789473684,0.0,0.4285526315789473,0.396578947368421,0.2938286766963462,0.23689449236894478
