,league,team,upset_frequency_home,upset_frequency_away,upset_frequency_overall,total_upsets_home,total_upsets_away,total_upsets,total_predictions_home,total_predictions_away,total_predictions,accuracy_home,accuracy_away,accuracy_overall,draw_predictions_home,draw_predictions_away,draw_predictions
90,Serie A,ROM,0.0,0.0,0.0,0.0,0.0,0.0,431,431,862,1.0,1.0,1.0,0,0,0
91,Serie A,COM,0.0,0.0,0.0,0.0,0.0,0.0,36,36,72,1.0,1.0,1.0,0,0,0
92,Bundesliga,GREF,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
93,Bundesliga,PAD,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
94,Bundesliga,SCH,0.0,0.0,0.0,0.0,0.0,0.0,306,306,612,1.0,1.0,1.0,0,0,0
95,Bundesliga,BIE,0.0,0.0,0.0,0.0,0.0,0.0,119,119,238,1.0,1.0,1.0,0,0,0
96,Bundesliga,HOF,0.0,0.0,0.0,0.0,0.0,0.0,289,289,578,1.0,1.0,1.0,0,0,0
97,Bundesliga,KAR,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
98,Bundesliga,DUI,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
99,Bundesliga,COT,0.0,0.0,0.0,0.0,0.0,0.0,51,51,102,1.0,1.0,1.0,0,0,0
100,Bundesliga,STP,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
101,Bundesliga,HEI,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
102,Bundesliga,BRA,0.0,0.0,0.0,0.0,0.0,0.0,17,17,34,1.0,1.0,1.0,0,0,0
103,Bundesliga,MAI,0.0,0.0,0.0,0.0,0.0,0.0,323,323,646,1.0,1.0,1.0,0,0,0
104,Bundesliga,EINF,0.0,0.0,0.0,0.0,0.0,0.0,323,323,646,1.0,1.0,1.0,0,0,0
105,Bundesliga,NUR,0.0,0.0,0.0,0.0,0.0,0.0,170,170,340,1.0,1.0,1.0,0,0,0
106,Bundesliga,STU,0.0,0.0,0.0,0.0,0.0,0.0,323,323,646,1.0,1.0,1.0,0,0,0
107,Bundesliga,HANR,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
108,Bundesliga,KOL,0.0,0.0,0.0,0.0,0.0,0.0,238,238,476,1.0,1.0,1.0,0,0,0
109,Bundesliga,M'G,0.0,0.0,0.0,0.0,0.0,0.0,340,340,680,1.0,1.0,1.0,0,0,0
110,Bundesliga,BOC,0.0,0.0,0.0,0.0,0.0,0.0,153,153,306,1.0,1.0,1.0,0,0,0
111,Bundesliga,HAM,0.0,0.0,0.0,0.0,0.0,0.0,238,238,476,1.0,1.0,1.0,0,0,0
112,Bundesliga,BAY,0.0,0.0,0.0,0.0,0.0,0.0,357,357,714,1.0,1.0,1.0,0,0,0
113,Bundesliga,WERB,0.0,0.0,0.0,0.0,0.0,0.0,340,340,680,1.0,1.0,1.0,0,0,0
114,Bundesliga,DOR,0.0,0.0,0.0,0.0,0.0,0.0,357,357,714,1.0,1.0,1.0,0,0,0
115,Bundesliga,FORD,0.0,0.0,0.0,0.0,0.0,0.0,51,51,102,1.0,1.0,1.0,0,0,0
116,Bundesliga,DAR,0.0,0.0,0.0,0.0,0.0,0.0,51,51,102,1.0,1.0,1.0,0,0,0
117,Bundesliga,ING,0.0,0.0,0.0,0.0,0.0,0.0,34,34,68,1.0,1.0,1.0,0,0,0
118,Bundesliga,KAI,0.0,0.0,0.0,0.0,0.0,0.0,68,68,136,1.0,1.0,1.0,0,0,0
119,Bundesliga,UNI,0.0,0.0,0.0,0.0,0.0,0.0,102,102,204,1.0,1.0,1.0,0,0,0
120,Bundesliga,HOLK,0.0,0.0,0.0,0.0,0.0,0.0,17,17,34,1.0,1.0,1.0,0,0,0
121,Bundesliga,HERT,0.0,0.0,0.0,0.0,0.0,0.0,289,289,578,1.0,1.0,1.0,0,0,0
122,Bundesliga,WOB,0.0,0.0,0.0,0.0,0.0,0.0,357,357,714,1.0,1.0,1.0,0,0,0
123,Bundesliga,HAN,0.0,0.0,0.0,0.0,0.0,0.0,238,238,476,1.0,1.0,1.0,0,0,0
124,Bundesliga,AUG,0.0,0.0,0.0,0.0,0.0,0.0,238,238,476,1.0,1.0,1.0,0,0,0
125,Bundesliga,FRE,0.0,0.0,0.0,0.0,0.0,0.0,272,272,544,1.0,1.0,1.0,0,0,0
126,Bundesliga,AAC,0.0,0.0,0.0,0.0,0.0,0.0,17,17,34,1.0,1.0,1.0,0,0,0
127,Bundesliga,RBL,0.0,0.0,0.0,0.0,0.0,0.0,153,153,306,1.0,1.0,1.0,0,0,0
128,Bundesliga,LEVK,0.0,0.0,0.0,0.0,0.0,0.0,357,357,714,1.0,1.0,1.0,0,0,0
129,La Liga,SAN,0.0,0.0,0.0,0.0,0.0,0.0,171,171,342,1.0,1.0,1.0,0,0,0
130,La Liga,VIL,0.0,0.0,0.0,0.0,0.0,0.0,418,418,836,1.0,1.0,1.0,0,0,0
131,La Liga,ATHM,0.0,0.0,0.0,0.0,0.0,0.0,399,399,798,1.0,1.0,1.0,0,0,0
132,La Liga,ESP,0.0,0.0,0.0,0.0,0.0,0.0,399,399,798,1.0,1.0,1.0,0,0,0
133,La Liga,OVI,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
134,La Liga,VLC,0.0,0.0,0.0,0.0,0.0,0.0,437,437,874,1.0,1.0,1.0,0,0,0
135,La Liga,HERC,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
136,La Liga,OSA,0.0,0.0,0.0,0.0,0.0,0.0,361,361,722,1.0,1.0,1.0,0,0,0
137,La Liga,VLLD,0.0,0.0,0.0,0.0,0.0,0.0,266,266,532,1.0,1.0,1.0,0,0,0
138,La Liga,LASP,0.0,0.0,0.0,0.0,0.0,0.0,133,133,266,1.0,1.0,1.0,0,0,0
139,La Liga,GET,0.0,0.0,0.0,0.0,0.0,0.0,342,342,684,1.0,1.0,1.0,0,0,0
140,La Liga,CEL,0.0,0.0,0.0,0.0,0.0,0.0,342,342,684,1.0,1.0,1.0,0,0,0
141,La Liga,ATHB,0.0,0.0,0.0,0.0,0.0,0.0,437,437,874,1.0,1.0,1.0,0,0,0
142,La Liga,ALB,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
143,La Liga,MUR,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
144,La Liga,SEV,0.0,0.0,0.0,0.0,0.0,0.0,418,418,836,1.0,1.0,1.0,0,0,0
145,La Liga,LEG,0.0,0.0,0.0,0.0,0.0,0.0,95,95,190,1.0,1.0,1.0,0,0,0
146,La Liga,TEN,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
147,La Liga,MALL,0.0,0.0,0.0,0.0,0.0,0.0,304,304,608,1.0,1.0,1.0,0,0,0
148,La Liga,BET,0.0,0.0,0.0,0.0,0.0,0.0,361,361,722,1.0,1.0,1.0,0,0,0
149,La Liga,ALA,0.0,0.0,0.0,0.0,0.0,0.0,228,228,456,1.0,1.0,1.0,0,0,0
150,La Liga,REC,0.0,0.0,0.0,0.0,0.0,0.0,57,57,114,1.0,1.0,1.0,0,0,0
151,La Liga,LAC,0.0,0.0,0.0,0.0,0.0,0.0,266,266,532,1.0,1.0,1.0,0,0,0
152,La Liga,LEVA,0.0,0.0,0.0,0.0,0.0,0.0,228,228,456,1.0,1.0,1.0,0,0,0
153,La Liga,SPG,0.0,0.0,0.0,0.0,0.0,0.0,114,114,228,1.0,1.0,1.0,0,0,0
154,La Liga,ELC,0.0,0.0,0.0,0.0,0.0,0.0,95,95,190,1.0,1.0,1.0,0,0,0
155,La Liga,ALM,0.0,0.0,0.0,0.0,0.0,0.0,152,152,304,1.0,1.0,1.0,0,0,0
156,La Liga,GRA,0.0,0.0,0.0,0.0,0.0,0.0,190,190,380,1.0,1.0,1.0,0,0,0
157,La Liga,XER,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
158,La Liga,RMA,0.0,0.0,0.0,0.0,0.0,0.0,437,437,874,1.0,1.0,1.0,0,0,0
159,La Liga,MLG,0.0,0.0,0.0,0.0,0.0,0.0,285,285,570,1.0,1.0,1.0,0,0,0
160,La Liga,ZAR,0.0,0.0,0.0,0.0,0.0,0.0,171,171,342,1.0,1.0,1.0,0,0,0
161,La Liga,BARC,0.0,0.0,0.0,0.0,0.0,0.0,437,437,874,1.0,1.0,1.0,0,0,0
162,La Liga,COR,0.0,0.0,0.0,0.0,0.0,0.0,19,19,38,1.0,1.0,1.0,0,0,0
163,La Liga,CAD,0.0,0.0,0.0,0.0,0.0,0.0,95,95,190,1.0,1.0,1.0,0,0,0
164,La Liga,RSO,0.0,0.0,0.0,0.0,0.0,0.0,380,380,760,1.0,1.0,1.0,0,0,0
165,La Liga,HUE,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
166,La Liga,NUM,0.0,0.0,0.0,0.0,0.0,0.0,38,38,76,1.0,1.0,1.0,0,0,0
167,La Liga,GIR,0.0,0.0,0.0,0.0,0.0,0.0,95,95,190,1.0,1.0,1.0,0,0,0
168,La Liga,RAYO,0.0,0.0,0.0,0.0,0.0,0.0,247,247,494,1.0,1.0,1.0,0,0,0
169,La Liga,EIB,0.0,0.0,0.0,0.0,0.0,0.0,133,133,266,1.0,1.0,1.0,0,0,0
