league,season,total_matches,total_upsets_seed_1,upset_frequency_seed_1,total_upsets_seed_2,upset_frequency_seed_2,total_upsets_seed_3,upset_frequency_seed_3,total_upsets_seed_4,upset_frequency_seed_4,total_upsets_seed_5,upset_frequency_seed_5,total_upsets_seed_6,upset_frequency_seed_6,total_upsets_seed_7,upset_frequency_seed_7,total_upsets_seed_8,upset_frequency_seed_8,total_upsets_seed_9,upset_frequency_seed_9,total_upsets_seed_10,upset_frequency_seed_10,total_upsets_avg,upset_frequency_avg
Bundesliga,2019,306,129.0,0.4215686274509804,140.0,0.45751633986928103,127.0,0.4150326797385621,129.0,0.4215686274509804,127.0,0.4150326797385621,129.0,0.4215686274509804,137.0,0.4477124183006536,123.0,0.4019607843137255,114.0,0.37254901960784315,116.0,0.3790849673202614,127.1,0.41535947712418303
Bundesliga,2020,306,129.5,0.42320261437908496,124.5,0.4068627450980392,111.5,0.36437908496732024,118.5,0.3872549019607843,125.5,0.41013071895424835,125.5,0.41013071895424835,126.5,0.4133986928104575,125.5,0.41013071895424835,113.5,0.3709150326797386,125.5,0.41013071895424835,122.6,0.40065359477124185
Bundesliga,2021,306,105.5,0.34477124183006536,123.5,0.4035947712418301,108.5,0.3545751633986928,134.5,0.4395424836601307,122.5,0.40032679738562094,121.5,0.39705882352941174,127.5,0.4166666666666667,135.5,0.44281045751633985,129.5,0.42320261437908496,121.5,0.39705882352941174,123.0,0.4019607843137255
Bundesliga,2022,306,123.5,0.4035947712418301,125.5,0.41013071895424835,117.5,0.3839869281045752,119.5,0.39052287581699346,130.5,0.4264705882352941,117.5,0.3839869281045752,128.5,0.4199346405228758,135.5,0.44281045751633985,132.5,0.43300653594771243,114.5,0.3741830065359477,124.5,0.4068627450980392
Bundesliga,2023,306,132.5,0.43300653594771243,112.5,0.36764705882352944,120.5,0.3937908496732026,131.5,0.4297385620915033,120.5,0.3937908496732026,124.5,0.4068627450980392,137.5,0.4493464052287582,122.5,0.40032679738562094,127.5,0.4166666666666667,126.5,0.4133986928104575,125.6,0.41045751633986927
Bundesliga,2024,306,143.0,0.4673202614379085,122.0,0.39869281045751637,129.0,0.4215686274509804,129.0,0.4215686274509804,115.0,0.3758169934640523,119.0,0.3888888888888889,122.0,0.39869281045751637,137.0,0.4477124183006536,142.0,0.46405228758169936,128.0,0.41830065359477125,128.6,0.42026143790849674
La Liga,2000,380,144.5,0.38026315789473686,130.5,0.34342105263157896,134.5,0.3539473684210526,130.5,0.34342105263157896,130.5,0.34342105263157896,134.5,0.3539473684210526,138.5,0.36447368421052634,141.5,0.37236842105263157,145.5,0.3828947368421053,148.5,0.3907894736842105,137.9,0.36289473684210527
La Liga,2001,380,136.5,0.3592105263157895,131.5,0.3460526315789474,144.5,0.38026315789473686,142.5,0.375,145.5,0.3828947368421053,144.5,0.38026315789473686,148.5,0.3907894736842105,141.5,0.37236842105263157,159.5,0.41973684210526313,143.5,0.37763157894736843,143.8,0.3784210526315789
La Liga,2002,380,148.5,0.3907894736842105,156.5,0.4118421052631579,160.5,0.42236842105263156,162.5,0.4276315789473684,151.5,0.3986842105263158,153.5,0.4039473684210526,143.5,0.37763157894736843,146.5,0.38552631578947366,153.5,0.4039473684210526,149.5,0.39342105263157895,152.6,0.401578947368421
La Liga,2003,380,151.5,0.3986842105263158,143.5,0.37763157894736843,148.5,0.3907894736842105,138.5,0.36447368421052634,137.5,0.3618421052631579,163.5,0.43026315789473685,136.5,0.3592105263157895,136.5,0.3592105263157895,149.5,0.39342105263157895,138.5,0.36447368421052634,144.4,0.38
La Liga,2005,380,149.5,0.39342105263157895,145.5,0.3828947368421053,152.5,0.40131578947368424,139.5,0.3671052631578947,164.5,0.4328947368421053,156.5,0.4118421052631579,151.5,0.3986842105263158,150.5,0.3960526315789474,162.5,0.4276315789473684,145.5,0.3828947368421053,151.8,0.3994736842105263
La Liga,2007,380,153.5,0.4039473684210526,152.5,0.40131578947368424,155.5,0.40921052631578947,141.5,0.37236842105263157,141.5,0.37236842105263157,166.5,0.4381578947368421,140.5,0.36973684210526314,150.5,0.3960526315789474,145.5,0.3828947368421053,155.5,0.40921052631578947,150.3,0.3955263157894737
La Liga,2008,380,159.5,0.41973684210526313,143.5,0.37763157894736843,143.5,0.37763157894736843,144.5,0.38026315789473686,146.5,0.38552631578947366,136.5,0.3592105263157895,138.5,0.36447368421052634,158.5,0.41710526315789476,153.5,0.4039473684210526,141.5,0.37236842105263157,146.6,0.38578947368421057
La Liga,2009,380,139.5,0.3671052631578947,157.5,0.4144736842105263,144.5,0.38026315789473686,139.5,0.3671052631578947,143.5,0.37763157894736843,150.5,0.3960526315789474,145.5,0.3828947368421053,129.5,0.34078947368421053,148.5,0.3907894736842105,140.5,0.36973684210526314,143.9,0.37868421052631573
La Liga,2010,380,143.5,0.37763157894736843,140.5,0.36973684210526314,158.5,0.41710526315789476,151.5,0.3986842105263158,151.5,0.3986842105263158,143.5,0.37763157894736843,138.5,0.36447368421052634,147.5,0.3881578947368421,142.5,0.375,153.5,0.4039473684210526,147.1,0.3871052631578948
La Liga,2011,380,147.0,0.3868421052631579,144.0,0.37894736842105264,143.0,0.3763157894736842,154.0,0.4052631578947368,145.0,0.3815789473684211,138.0,0.3631578947368421,155.0,0.40789473684210525,139.0,0.36578947368421055,139.0,0.36578947368421055,136.0,0.35789473684210527,144.0,0.37894736842105264
La Liga,2012,380,144.0,0.37894736842105264,138.0,0.3631578947368421,140.0,0.3684210526315789,145.0,0.3815789473684211,156.0,0.4105263157894737,145.0,0.3815789473684211,145.0,0.3815789473684211,152.0,0.4,134.0,0.3526315789473684,155.0,0.40789473684210525,145.4,0.38263157894736843
La Liga,2013,380,158.0,0.41578947368421054,147.0,0.3868421052631579,145.0,0.3815789473684211,155.0,0.40789473684210525,151.0,0.3973684210526316,155.0,0.40789473684210525,158.0,0.41578947368421054,156.0,0.4105263157894737,156.0,0.4105263157894737,153.0,0.4026315789473684,153.4,0.4036842105263158
La Liga,2014,380,136.5,0.3592105263157895,143.5,0.37763157894736843,146.5,0.38552631578947366,146.5,0.38552631578947366,145.5,0.3828947368421053,143.5,0.37763157894736843,132.5,0.34868421052631576,143.5,0.37763157894736843,154.5,0.40657894736842104,149.5,0.39342105263157895,144.2,0.37947368421052635
La Liga,2015,380,134.0,0.3526315789473684,155.0,0.40789473684210525,150.0,0.39473684210526316,147.0,0.3868421052631579,138.0,0.3631578947368421,144.0,0.37894736842105264,152.0,0.4,160.0,0.42105263157894735,133.0,0.35,154.0,0.4052631578947368,146.7,0.3860526315789474
La Liga,2016,380,155.5,0.40921052631578947,159.5,0.41973684210526313,142.5,0.375,157.5,0.4144736842105263,151.5,0.3986842105263158,148.5,0.3907894736842105,161.5,0.425,159.5,0.41973684210526313,152.5,0.40131578947368424,163.5,0.43026315789473685,155.2,0.4084210526315789
La Liga,2017,380,141.0,0.37105263157894736,138.0,0.3631578947368421,149.0,0.39210526315789473,151.0,0.3973684210526316,145.0,0.3815789473684211,147.0,0.3868421052631579,146.0,0.38421052631578945,141.0,0.37105263157894736,152.0,0.4,143.0,0.3763157894736842,145.3,0.3823684210526316
La Liga,2018,380,153.0,0.4026315789473684,139.0,0.36578947368421055,137.0,0.3605263157894737,157.0,0.4131578947368421,151.0,0.3973684210526316,142.0,0.3736842105263158,144.0,0.37894736842105264,155.0,0.40789473684210525,160.0,0.42105263157894735,148.0,0.3894736842105263,148.6,0.3910526315789473
La Liga,2019,380,150.5,0.3960526315789474,149.5,0.39342105263157895,141.5,0.37236842105263157,153.5,0.4039473684210526,148.5,0.3907894736842105,139.5,0.3671052631578947,142.5,0.375,152.5,0.40131578947368424,141.5,0.37236842105263157,149.5,0.39342105263157895,146.9,0.3865789473684211
La Liga,2020,380,143.5,0.37763157894736843,134.5,0.3539473684210526,150.5,0.3960526315789474,139.5,0.3671052631578947,149.5,0.39342105263157895,142.5,0.375,147.5,0.3881578947368421,156.5,0.4118421052631579,149.5,0.39342105263157895,147.5,0.3881578947368421,146.1,0.38447368421052636
La Liga,2021,380,154.5,0.40657894736842104,152.5,0.40131578947368424,147.5,0.3881578947368421,143.5,0.37763157894736843,168.5,0.44342105263157894,153.5,0.4039473684210526,164.5,0.4328947368421053,136.5,0.3592105263157895,147.5,0.3881578947368421,154.5,0.40657894736842104,152.3,0.4007894736842105
La Liga,2022,380,138.5,0.36447368421052634,131.5,0.3460526315789474,151.5,0.3986842105263158,130.5,0.34342105263157896,143.5,0.37763157894736843,142.5,0.375,147.5,0.3881578947368421,163.5,0.43026315789473685,146.5,0.38552631578947366,149.5,0.39342105263157895,144.5,0.38026315789473686
La Liga,2023,380,149.5,0.39342105263157895,138.5,0.36447368421052634,134.5,0.3539473684210526,151.5,0.3986842105263158,154.5,0.40657894736842104,152.5,0.40131578947368424,151.5,0.3986842105263158,131.5,0.3460526315789474,153.5,0.4039473684210526,148.5,0.3907894736842105,146.6,0.3857894736842105
La Liga,2024,380,138.5,0.36447368421052634,137.5,0.3618421052631579,149.5,0.39342105263157895,138.5,0.36447368421052634,155.5,0.40921052631578947,135.5,0.35657894736842105,152.5,0.40131578947368424,146.5,0.38552631578947366,153.5,0.4039473684210526,150.5,0.3960526315789474,145.8,0.3836842105263158
Premier League,2001,380,141.5,0.37236842105263157,155.5,0.40921052631578947,145.5,0.3828947368421053,160.5,0.42236842105263156,153.5,0.4039473684210526,153.5,0.4039473684210526,161.5,0.425,148.5,0.3907894736842105,153.5,0.4039473684210526,161.5,0.425,153.5,0.40394736842105267
Premier League,2002,380,148.0,0.3894736842105263,149.0,0.39210526315789473,151.0,0.3973684210526316,142.0,0.3736842105263158,151.0,0.3973684210526316,143.0,0.3763157894736842,148.0,0.3894736842105263,137.0,0.3605263157894737,155.0,0.40789473684210525,163.0,0.42894736842105263,148.7,0.39131578947368423
Premier League,2005,380,144.5,0.38026315789473686,141.5,0.37236842105263157,139.5,0.3671052631578947,141.5,0.37236842105263157,145.5,0.3828947368421053,143.5,0.37763157894736843,142.5,0.375,149.5,0.39342105263157895,158.5,0.41710526315789476,145.5,0.3828947368421053,145.2,0.3821052631578948
Premier League,2006,380,149.0,0.39210526315789473,156.0,0.4105263157894737,144.0,0.37894736842105264,152.0,0.4,135.0,0.35526315789473684,145.0,0.3815789473684211,153.0,0.4026315789473684,150.0,0.39473684210526316,145.0,0.3815789473684211,136.0,0.35789473684210527,146.5,0.3855263157894737
Premier League,2007,380,140.0,0.3684210526315789,145.0,0.3815789473684211,136.0,0.35789473684210527,151.0,0.3973684210526316,149.0,0.39210526315789473,141.0,0.37105263157894736,137.0,0.3605263157894737,139.0,0.36578947368421055,154.0,0.4052631578947368,152.0,0.4,144.4,0.38
