league,season,total_matches,total_upsets,upset_frequency,accuracy
La Liga,2015,380,150.0,0.39473684210526316,0.39473684210526316
La Liga,2016,380,142.5,0.375,0.37894736842105264
La Liga,2017,380,149.0,0.39210526315789473,0.3763157894736842
La Liga,2018,380,137.0,0.3605263157894737,0.35526315789473684
La Liga,2019,380,141.5,0.37236842105263157,0.3736842105263158
La Liga,2020,380,150.5,0.3960526315789474,0.3473684210526316
La Liga,2021,380,147.5,0.3881578947368421,0.3447368421052632
La Liga,2022,380,151.5,0.3986842105263158,0.3631578947368421
La Liga,2023,380,134.5,0.3539473684210526,0.3894736842105263
La Liga,2024,380,149.5,0.39342105263157895,0.35789473684210527
Premier League,2001,380,145.5,0.3828947368421053,0.37105263157894736
Premier League,2002,380,151.0,0.3973684210526316,0.3447368421052632
Premier League,2005,380,139.5,0.3671052631578947,0.37105263157894736
Premier League,2006,380,144.0,0.37894736842105264,0.36578947368421055
Premier League,2007,380,136.0,0.35789473684210527,0.4026315789473684
Premier League,2008,380,147.5,0.3881578947368421,0.3815789473684211
Premier League,2009,380,131.0,0.3447368421052632,0.39473684210526316
Premier League,2010,380,158.5,0.41710526315789476,0.3473684210526316
Premier League,2011,380,141.5,0.37236842105263157,0.3894736842105263
Premier League,2012,380,170.0,0.4473684210526316,0.3236842105263158
Premier League,2013,380,162.0,0.4263157894736842,0.35
Premier League,2014,380,147.5,0.3881578947368421,0.35
Premier League,2015,380,139.5,0.3671052631578947,0.3631578947368421
Premier League,2016,380,146.0,0.38421052631578945,0.35789473684210527
Premier League,2017,380,155.5,0.40921052631578947,0.36578947368421055
Premier League,2018,380,149.5,0.39342105263157895,0.37105263157894736
Premier League,2019,380,149.0,0.39210526315789473,0.35
Premier League,2020,380,165.5,0.4355263157894737,0.3026315789473684
Premier League,2021,380,154.0,0.4052631578947368,0.36578947368421055
Premier League,2022,380,142.5,0.375,0.37894736842105264
Premier League,2023,380,173.0,0.45526315789473687,0.35
Premier League,2024,380,140.5,0.36973684210526314,0.3368421052631579
Serie A,2000,306,123.0,0.4019607843137255,0.35947712418300654
Serie A,2001,306,117.5,0.3839869281045752,0.369281045751634
Serie A,2002,306,122.0,0.39869281045751637,0.35947712418300654
Serie A,2005,380,152.0,0.4,0.35
Serie A,2006,380,139.0,0.36578947368421055,0.3894736842105263
Serie A,2007,380,155.0,0.40789473684210525,0.3447368421052632
Serie A,2008,380,153.5,0.4039473684210526,0.3605263157894737
Serie A,2009,380,136.0,0.35789473684210527,0.35789473684210527
Serie A,2010,380,143.5,0.37763157894736843,0.3605263157894737
Serie A,2011,380,143.5,0.37763157894736843,0.4052631578947368
Serie A,2012,380,152.0,0.4,0.37894736842105264
Serie A,2013,380,151.0,0.3973684210526316,0.3447368421052632
Serie A,2014,380,137.0,0.3605263157894737,0.3763157894736842
Serie A,2015,380,146.5,0.38552631578947366,0.37105263157894736
Serie A,2016,380,159.0,0.41842105263157897,0.3236842105263158
Serie A,2017,380,159.5,0.41973684210526313,0.29210526315789476
Serie A,2018,380,149.0,0.39210526315789473,0.4105263157894737
Serie A,2019,380,146.5,0.38552631578947366,0.35
Serie A,2020,380,170.5,0.4486842105263158,0.29210526315789476
Serie A,2021,380,142.0,0.3736842105263158,0.3684210526315789
Serie A,2022,380,146.0,0.38421052631578945,0.33421052631578946
Serie A,2023,380,168.0,0.4421052631578947,0.29473684210526313
Serie A,2024,380,146.0,0.38421052631578945,0.34210526315789475
