league,team,win_rate,std_win_rate,std_rank
NFL,MIA,0.6018759198594692,0.29400822964246204,23
NFL,NO,0.44455713319810686,0.2932733325107423,24
NFL,GB,0.5920522163667727,0.2901136051995477,25
NFL,MIN,0.6014703904160533,0.2888555465384892,26
NFL,DET,0.404229771004447,0.2876041642968963,27
NFL,SEA,0.530956430191124,0.27899905778451606,28
NFL,NYJ,0.38798980043995,0.27127873759412613,29
NFL,ARI,0.36188260614980455,0.2695876851741949,30
NFL,BAL,0.6229716024340771,0.25904361027169975,31
NFL,PIT,0.6631316368355252,0.2560017791737589,32
