season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points
2024/2025,2024-12-15,Lecce,Monza,2,1,win,3,0
2024/2025,2024-12-15,Bologna,Fiorentina,1,0,win,3,0
2024/2025,2024-12-15,Parma,Verona,2,3,loss,0,3
2024/2025,2024-12-15,Como,Roma,2,0,win,3,0
2024/2025,2024-12-15,Milan,Genoa,0,0,draw,1,1
2024/2025,2024-12-14,Cagliari,Atalanta,0,1,loss,0,3
2024/2025,2024-12-14,Udinese,Napoli,1,3,loss,0,3
2024/2025,2024-12-14,Juventus,Venezia,2,2,draw,1,1
2024/2025,2024-12-13,Empoli,Torino,0,1,loss,0,3
2024/2025,2024-12-09,Monza,Udinese,1,2,loss,0,3
2024/2025,2024-12-08,Fiorentina,Cagliari,1,0,win,3,0
2024/2025,2024-12-08,Verona,Empoli,1,4,loss,0,3
2024/2025,2024-12-08,Venezia,Como,2,2,draw,1,1
2024/2025,2024-12-08,Napoli,Lazio,0,1,loss,0,3
2024/2025,2024-12-07,Genoa,Torino,0,0,draw,1,1
2024/2025,2024-12-07,Juventus,Bologna,2,2,draw,1,1
2024/2025,2024-12-07,Roma,Lecce,4,1,win,3,0
2024/2025,2024-12-06,Inter,Parma,3,1,win,3,0
2024/2025,2024-12-06,Atalanta,Milan,2,1,win,3,0
2024/2025,2024-12-02,Roma,Atalanta,0,2,loss,0,3
2024/2025,2024-12-01,Udinese,Genoa,0,2,loss,0,3
2024/2025,2024-12-01,Parma,Lazio,3,1,win,3,0
2024/2025,2024-12-01,Torino,Napoli,0,1,loss,0,3
2024/2025,2024-12-01,Lecce,Juventus,1,1,draw,1,1
2024/2025,2024-11-30,Como,Monza,1,1,draw,1,1
2024/2025,2024-11-30,Milan,Empoli,3,0,win,3,0
2024/2025,2024-11-30,Bologna,Venezia,3,0,win,3,0
2024/2025,2024-11-29,Cagliari,Verona,1,0,win,3,0
2024/2025,2024-11-25,Empoli,Udinese,1,1,draw,1,1
2024/2025,2024-11-25,Venezia,Lecce,0,1,loss,0,3
2024/2025,2024-11-24,Genoa,Cagliari,2,2,draw,1,1
2024/2025,2024-11-24,Como,Fiorentina,0,2,loss,0,3
2024/2025,2024-11-24,Torino,Monza,1,1,draw,1,1
2024/2025,2024-11-24,Napoli,Roma,1,0,win,3,0
2024/2025,2024-11-24,Lazio,Bologna,3,0,win,3,0
2024/2025,2024-11-23,Verona,Inter,0,5,loss,0,3
2024/2025,2024-11-23,Milan,Juventus,0,0,draw,1,1
2024/2025,2024-11-23,Parma,Atalanta,1,3,loss,0,3
2024/2025,2024-11-10,Atalanta,Udinese,2,1,win,3,0
2024/2025,2024-11-10,Fiorentina,Verona,3,1,win,3,0
2024/2025,2024-11-10,Roma,Bologna,2,3,loss,0,3
2024/2025,2024-11-10,Monza,Lazio,0,1,loss,0,3
