team,season,first_half_points,second_half_points,league
AUG,2016,29.411764705882355,29.411764705882355,Bundesliga
BAY,2016,100.0,100.0,Bundesliga
DAR,2016,0.0,0.0,Bundesliga
DOR,2016,88.23529411764706,88.23529411764706,Bundesliga
EINF,2016,41.1764705882353,41.1764705882353,Bundesliga
FRE,2016,64.70588235294117,64.70588235294117,Bundesliga
HAM,2016,23.529411764705884,23.529411764705884,Bundesliga
HERT,2016,70.58823529411765,70.58823529411765,Bundesliga
HOF,2016,82.3529411764706,82.3529411764706,Bundesliga
ING,2016,5.882352941176471,5.882352941176471,Bundesliga
KOL,2016,76.47058823529412,76.47058823529412,Bundesliga
LEVK,2016,35.294117647058826,35.294117647058826,Bundesliga
M'G,2016,52.94117647058824,52.94117647058824,Bundesliga
MAI,2016,17.647058823529413,17.647058823529413,Bundesliga
RBL,2016,94.11764705882354,94.11764705882354,Bundesliga
SCH,2016,47.05882352941177,47.05882352941177,Bundesliga
WERB,2016,58.82352941176471,58.82352941176471,Bundesliga
WOB,2016,11.764705882352942,11.764705882352942,Bundesliga
AUG,2017,35.294117647058826,35.294117647058826,Bundesliga
BAY,2017,100.0,100.0,Bundesliga
DOR,2017,82.3529411764706,82.3529411764706,Bundesliga
EINF,2017,58.82352941176471,58.82352941176471,Bundesliga
FRE,2017,17.647058823529413,17.647058823529413,Bundesliga
HAM,2017,5.882352941176471,5.882352941176471,Bundesliga
HAN,2017,29.411764705882355,29.411764705882355,Bundesliga
HERT,2017,47.05882352941177,47.05882352941177,Bundesliga
HOF,2017,88.23529411764706,88.23529411764706,Bundesliga
KOL,2017,0.0,0.0,Bundesliga
LEVK,2017,76.47058823529412,76.47058823529412,Bundesliga
M'G,2017,52.94117647058824,52.94117647058824,Bundesliga
MAI,2017,23.529411764705884,23.529411764705884,Bundesliga
RBL,2017,70.58823529411765,70.58823529411765,Bundesliga
SCH,2017,94.11764705882354,94.11764705882354,Bundesliga
STU,2017,64.70588235294117,64.70588235294117,Bundesliga
WERB,2017,41.1764705882353,41.1764705882353,Bundesliga
WOB,2017,11.764705882352942,11.764705882352942,Bundesliga
AUG,2018,17.647058823529413,17.647058823529413,Bundesliga
BAY,2018,100.0,100.0,Bundesliga
DOR,2018,94.11764705882354,94.11764705882354,Bundesliga
EINF,2018,64.70588235294117,64.70588235294117,Bundesliga
FORD,2018,47.05882352941177,47.05882352941177,Bundesliga
FRE,2018,29.411764705882355,29.411764705882355,Bundesliga
HAN,2018,5.882352941176471,5.882352941176471,Bundesliga
HERT,2018,41.1764705882353,41.1764705882353,Bundesliga
HOF,2018,52.94117647058824,52.94117647058824,Bundesliga
LEVK,2018,82.3529411764706,82.3529411764706,Bundesliga
M'G,2018,76.47058823529412,76.47058823529412,Bundesliga
MAI,2018,35.294117647058826,35.294117647058826,Bundesliga
NUR,2018,0.0,0.0,Bundesliga
RBL,2018,88.23529411764706,88.23529411764706,Bundesliga
SCH,2018,23.529411764705884,23.529411764705884,Bundesliga
STU,2018,11.764705882352942,11.764705882352942,Bundesliga
WERB,2018,58.82352941176471,58.82352941176471,Bundesliga
WOB,2018,70.58823529411765,70.58823529411765,Bundesliga
AUG,2019,17.647058823529413,17.647058823529413,Bundesliga
BAY,2019,100.0,100.0,Bundesliga
DOR,2019,94.11764705882354,94.11764705882354,Bundesliga
EINF,2019,52.94117647058824,52.94117647058824,Bundesliga
FORD,2019,5.882352941176471,5.882352941176471,Bundesliga
FRE,2019,58.82352941176471,58.82352941176471,Bundesliga
HERT,2019,47.05882352941177,47.05882352941177,Bundesliga
HOF,2019,70.58823529411765,70.58823529411765,Bundesliga
KOL,2019,23.529411764705884,23.529411764705884,Bundesliga
LEVK,2019,76.47058823529412,76.47058823529412,Bundesliga
M'G,2019,82.3529411764706,82.3529411764706,Bundesliga
MAI,2019,29.411764705882355,29.411764705882355,Bundesliga
PAD,2019,0.0,0.0,Bundesliga
RBL,2019,88.23529411764706,88.23529411764706,Bundesliga
SCH,2019,35.294117647058826,35.294117647058826,Bundesliga
UNI,2019,41.1764705882353,41.1764705882353,Bundesliga
WERB,2019,11.764705882352942,11.764705882352942,Bundesliga
WOB,2019,64.70588235294117,64.70588235294117,Bundesliga
AUG,2020,29.411764705882355,29.411764705882355,Bundesliga
BAY,2020,100.0,100.0,Bundesliga
BIE,2020,17.647058823529413,17.647058823529413,Bundesliga
DOR,2020,88.23529411764706,88.23529411764706,Bundesliga
EINF,2020,76.47058823529412,76.47058823529412,Bundesliga
FRE,2020,47.05882352941177,47.05882352941177,Bundesliga
HERT,2020,23.529411764705884,23.529411764705884,Bundesliga
HOF,2020,41.1764705882353,41.1764705882353,Bundesliga
KOL,2020,11.764705882352942,11.764705882352942,Bundesliga
LEVK,2020,70.58823529411765,70.58823529411765,Bundesliga
M'G,2020,58.82352941176471,58.82352941176471,Bundesliga
MAI,2020,35.294117647058826,35.294117647058826,Bundesliga
RBL,2020,94.11764705882354,94.11764705882354,Bundesliga
SCH,2020,0.0,0.0,Bundesliga
STU,2020,52.94117647058824,52.94117647058824,Bundesliga
UNI,2020,64.70588235294117,64.70588235294117,Bundesliga
WERB,2020,5.882352941176471,5.882352941176471,Bundesliga
WOB,2020,82.3529411764706,82.3529411764706,Bundesliga
AUG,2021,23.529411764705884,23.529411764705884,Bundesliga
BAY,2021,100.0,100.0,Bundesliga
