league,season,team_id,games_played,wins,losses,ties,win_pct,points_for,points_against,point_diff,rank
MLB,1990,ATL,162,65,97,0,0.401,682,821,-139,26
MLB,1991,PIT,162,98,64,0,0.605,768,632,136,1
MLB,1991,MIN,162,95,67,0,0.586,776,652,124,2
MLB,1991,ATL,162,94,68,0,0.58,749,644,105,3
MLB,1991,LAN,162,93,69,0,0.574,665,565,100,4
MLB,1991,TOR,162,91,71,0,0.562,684,622,62,5
MLB,1991,CHA,162,87,75,0,0.537,758,681,77,6
MLB,1991,TEX,162,85,77,0,0.525,829,814,15,7
MLB,1991,DET,162,84,78,0,0.519,817,794,23,8
MLB,1991,BOS,162,84,78,0,0.519,731,712,19,9
MLB,1991,SLN,162,84,78,0,0.519,651,648,3,10
MLB,1991,SDN,162,84,78,0,0.519,636,646,-10,11
MLB,1991,OAK,162,84,78,0,0.519,760,776,-16,12
MLB,1991,MIL,162,83,79,0,0.512,799,744,55,13
MLB,1991,SEA,162,83,79,0,0.512,702,674,28,14
MLB,1991,KCA,162,82,80,0,0.506,727,722,5,15
MLB,1991,CAL,162,81,81,0,0.5,653,649,4,16
MLB,1991,CHN,160,77,83,0,0.481,695,734,-39,17
MLB,1991,PHI,162,78,84,0,0.481,629,680,-51,18
MLB,1991,NYN,161,77,84,0,0.478,640,646,-6,19
MLB,1991,SFN,162,75,87,0,0.463,649,697,-48,20
MLB,1991,CIN,162,74,88,0,0.457,689,691,-2,21
MLB,1991,MON,161,71,90,0,0.441,579,655,-76,22
MLB,1991,NYA,162,71,91,0,0.438,674,777,-103,23
MLB,1991,BAL,162,67,95,0,0.414,686,796,-110,24
MLB,1991,HOU,162,65,97,0,0.401,605,717,-112,25
MLB,1991,CLE,162,57,105,0,0.352,576,759,-183,26
MLB,1992,ATL,162,98,64,0,0.605,682,569,113,1
MLB,1992,PIT,162,96,66,0,0.593,693,595,98,2
MLB,1992,TOR,162,96,66,0,0.593,780,682,98,3
MLB,1992,OAK,162,96,66,0,0.593,745,672,73,4
MLB,1992,MIL,162,92,70,0,0.568,740,604,136,5
MLB,1992,MIN,162,90,72,0,0.556,747,653,94,6
MLB,1992,CIN,162,90,72,0,0.556,660,609,51,7
MLB,1992,BAL,162,89,73,0,0.549,705,656,49,8
MLB,1992,MON,162,87,75,0,0.537,648,581,67,9
MLB,1992,CHA,162,86,76,0,0.531,738,690,48,10
MLB,1992,SLN,162,83,79,0,0.512,631,604,27,11
MLB,1992,SDN,162,82,80,0,0.506,617,636,-19,12
MLB,1992,HOU,162,81,81,0,0.5,608,668,-60,13
MLB,1992,CHN,162,78,84,0,0.481,593,624,-31,14
MLB,1992,TEX,162,77,85,0,0.475,682,753,-71,15
MLB,1992,NYA,162,76,86,0,0.469,733,746,-13,16
MLB,1992,CLE,162,76,86,0,0.469,674,746,-72,17
MLB,1992,DET,162,75,87,0,0.463,791,794,-3,18
MLB,1992,BOS,162,73,89,0,0.451,599,669,-70,19
MLB,1992,NYN,162,72,90,0,0.444,599,653,-54,20
MLB,1992,KCA,162,72,90,0,0.444,610,667,-57,21
MLB,1992,SFN,162,72,90,0,0.444,574,647,-73,22
MLB,1992,CAL,162,72,90,0,0.444,579,671,-92,23
MLB,1992,PHI,162,70,92,0,0.432,686,717,-31,24
MLB,1992,SEA,162,64,98,0,0.395,679,799,-120,25
MLB,1992,LAN,162,63,99,0,0.389,548,636,-88,26
MLB,1993,ATL,162,104,58,0,0.642,767,559,208,1
MLB,1993,SFN,162,103,59,0,0.636,808,636,172,2
MLB,1993,PHI,162,97,65,0,0.599,877,740,137,3
MLB,1993,TOR,162,95,67,0,0.586,847,742,105,4
MLB,1993,CHA,162,94,68,0,0.58,776,664,112,5
MLB,1993,MON,163,94,68,1,0.58,732,682,50,6
MLB,1993,NYA,162,88,74,0,0.543,821,761,60,7
MLB,1993,SLN,162,87,75,0,0.537,758,744,14,8
MLB,1993,TEX,162,86,76,0,0.531,835,751,84,9
MLB,1993,HOU,162,85,77,0,0.525,716,630,86,10
MLB,1993,DET,162,85,77,0,0.525,899,837,62,11
MLB,1993,BAL,162,85,77,0,0.525,786,745,41,12
MLB,1993,KCA,162,84,78,0,0.519,675,694,-19,13
MLB,1993,CHN,163,84,78,1,0.518,738,739,-1,14
MLB,1993,SEA,162,82,80,0,0.506,734,731,3,15
MLB,1993,LAN,162,81,81,0,0.5,675,662,13,16
MLB,1993,BOS,162,80,82,0,0.494,686,698,-12,17
MLB,1993,CLE,162,76,86,0,0.469,790,813,-23,18
MLB,1993,PIT,162,75,87,0,0.463,707,806,-99,19
MLB,1993,CIN,162,73,89,0,0.451,722,785,-63,20
MLB,1993,CAL,162,71,91,0,0.438,684,770,-86,21
MLB,1993,MIN,162,71,91,0,0.438,693,830,-137,22
MLB,1993,MIL,162,69,93,0,0.426,733,792,-59,23
MLB,1993,OAK,162,68,94,0,0.42,715,846,-131,24
MLB,1993,COL,162,67,95,0,0.414,758,967,-209,25
MLB,1993,FLO,162,64,98,0,0.395,581,724,-143,26
MLB,1993,SDN,162,61,101,0,0.377,679,772,-93,27
MLB,1993,NYN,162,59,103,0,0.364,672,744,-72,28
MLB,1994,MON,114,74,40,0,0.649,585,454,131,1
MLB,1994,NYA,113,70,43,0,0.619,670,534,136,2
MLB,1994,ATL,114,68,46,0,0.596,542,448,94,3
MLB,1994,CHA,113,67,46,0,0.593,633,498,135,4
MLB,1994,CLE,113,66,47,0,0.584,679,562,117,5
MLB,1994,CIN,115,66,48,1,0.578,609,490,119,6
MLB,1994,HOU,115,66,49,0,0.574,602,503,99,7
MLB,1994,BAL,112,63,49,0,0.562,589,497,92,8
MLB,1994,KCA,115,64,51,0,0.557,574,532,42,9
MLB,1994,LAN,114,58,56,0,0.509,532,509,23,10
MLB,1994,NYN,113,55,58,0,0.487,506,526,-20,11
MLB,1994,SFN,115,55,60,0,0.478,504,500,4,12
MLB,1994,TOR,115,55,60,0,0.478,566,579,-13,13
MLB,1994,PHI,115,54,61,0,0.47,521,497,24,14
MLB,1994,BOS,115,54,61,0,0.47,552,621,-69,15
MLB,1994,MIN,113,53,60,0,0.469,594,688,-94,16
MLB,1994,SLN,115,53,61,1,0.465,535,621,-86,17
MLB,1994,PIT,114,53,61,0,0.465,466,580,-114,18
MLB,1994,DET,115,53,62,0,0.461,652,671,-19,19
MLB,1994,MIL,115,53,62,0,0.461,547,586,-39,20
MLB,1994,TEX,114,52,62,0,0.456,613,697,-84,21
MLB,1994,COL,117,53,64,0,0.453,573,638,-65,22
MLB,1994,OAK,114,51,63,0,0.447,549,589,-40,23
MLB,1994,FLO,115,51,64,0,0.443,468,576,-108,24
MLB,1994,SEA,112,49,63,0,0.438,569,616,-47,25
MLB,1994,CHN,113,49,64,0,0.434,500,549,-49,26
MLB,1994,CAL,115,47,68,0,0.409,543,660,-117,27
MLB,1994,SDN,117,47,70,0,0.402,479,531,-52,28
MLB,1995,CLE,144,100,44,0,0.694,840,607,233,1
MLB,1995,ATL,144,90,54,0,0.625,645,540,105,2
MLB,1995,BOS,144,86,58,0,0.597,791,698,93,3
MLB,1995,CIN,144,85,59,0,0.59,747,623,124,4
MLB,1995,NYA,145,79,65,1,0.548,749,688,61,5
MLB,1995,SEA,145,79,66,0,0.545,796,708,88,6
MLB,1995,LAN,144,78,66,0,0.542,634,609,25,7
MLB,1995,CAL,145,78,67,0,0.538,801,697,104,8
MLB,1995,COL,144,77,67,0,0.535,785,783,2,9
MLB,1995,HOU,144,76,68,0,0.528,747,674,73,10
MLB,1995,TEX,144,74,70,0,0.514,691,720,-29,11
MLB,1995,CHN,144,73,71,0,0.507,693,671,22,12
MLB,1995,BAL,144,71,73,0,0.493,704,640,64,13
MLB,1995,SDN,144,70,74,0,0.486,668,672,-4,14
MLB,1995,KCA,144,70,74,0,0.486,629,691,-62,15
MLB,1995,NYN,144,69,75,0,0.479,657,618,39,16
MLB,1995,PHI,144,69,75,0,0.479,615,658,-43,17
MLB,1995,CHA,145,68,76,1,0.472,755,758,-3,18
MLB,1995,FLO,143,67,76,0,0.469,673,673,0,19
MLB,1995,OAK,144,67,77,0,0.465,730,761,-31,20
MLB,1995,SFN,144,67,77,0,0.465,652,776,-124,21
MLB,1995,MON,144,66,78,0,0.458,621,638,-17,22
MLB,1995,MIL,144,65,79,0,0.451,740,747,-7,23
MLB,1995,SLN,143,62,81,0,0.434,563,658,-95,24
MLB,1995,DET,144,60,84,0,0.417,654,844,-190,25
MLB,1995,PIT,144,58,86,0,0.403,629,736,-107,26
MLB,1995,TOR,144,56,88,0,0.389,642,777,-135,27
MLB,1995,MIN,144,56,88,0,0.389,703,889,-186,28
MLB,1996,CLE,161,99,62,0,0.615,952,769,183,1
MLB,1996,ATL,162,96,66,0,0.593,773,648,125,2
MLB,1996,NYA,162,92,70,0,0.568,871,787,84,3
MLB,1996,SDN,162,91,71,0,0.562,771,682,89,4
MLB,1996,LAN,162,90,72,0,0.556,703,652,51,5
MLB,1996,TEX,163,90,72,1,0.555,928,799,129,6
MLB,1996,MON,162,88,74,0,0.543,741,668,73,7
MLB,1996,SLN,162,88,74,0,0.543,759,706,53,8
MLB,1996,BAL,163,88,74,1,0.543,949,903,46,9
MLB,1996,SEA,161,85,76,0,0.528,993,895,98,10
MLB,1996,CHA,162,85,77,0,0.525,898,794,104,11
MLB,1996,BOS,162,85,77,0,0.525,928,921,7,12
MLB,1996,COL,162,83,79,0,0.512,961,964,-3,13
MLB,1996,HOU,162,82,80,0,0.506,753,792,-39,14
MLB,1996,CIN,162,81,81,0,0.5,778,773,5,15
MLB,1996,MIL,162,80,82,0,0.494,894,899,-5,16
MLB,1996,FLO,162,80,82,0,0.494,688,703,-15,17
MLB,1996,MIN,162,78,84,0,0.481,877,900,-23,18
MLB,1996,OAK,162,78,84,0,0.481,861,900,-39,19
MLB,1996,CHN,162,76,86,0,0.469,772,771,1,20
MLB,1996,KCA,161,75,86,0,0.466,746,786,-40,21
MLB,1996,TOR,162,74,88,0,0.457,766,809,-43,22
MLB,1996,PIT,162,73,89,0,0.451,776,833,-57,23
MLB,1996,NYN,162,71,91,0,0.438,746,779,-33,24
MLB,1996,CAL,161,70,91,0,0.435,762,943,-181,25
MLB,1996,SFN,162,68,94,0,0.42,752,862,-110,26
MLB,1996,PHI,162,67,95,0,0.414,650,790,-140,27
MLB,1996,DET,162,53,109,0,0.327,783,1103,-320,28
MLB,1997,ATL,162,101,61,0,0.623,791,581,210,1
MLB,1997,BAL,162,98,64,0,0.605,812,681,131,2
MLB,1997,NYA,162,96,66,0,0.593,891,688,203,3
MLB,1997,FLO,162,92,70,0,0.568,740,669,71,4
MLB,1997,SEA,162,90,72,0,0.556,925,833,92,5
MLB,1997,SFN,162,90,72,0,0.556,784,793,-9,6
MLB,1997,LAN,162,88,74,0,0.543,742,645,97,7
MLB,1997,NYN,162,88,74,0,0.543,777,709,68,8
MLB,1997,CLE,161,86,75,0,0.534,868,815,53,9
MLB,1997,HOU,162,84,78,0,0.519,777,660,117,10
MLB,1997,ANA,162,84,78,0,0.519,829,794,35,11
MLB,1997,COL,162,83,79,0,0.512,923,908,15,12
MLB,1997,CHA,161,80,81,0,0.497,779,833,-54,13
MLB,1997,DET,162,79,83,0,0.488,784,790,-6,14
MLB,1997,PIT,162,79,83,0,0.488,725,760,-35,15
MLB,1997,MIL,161,78,83,0,0.484,681,742,-61,16
MLB,1997,BOS,162,78,84,0,0.481,851,857,-6,17
MLB,1997,MON,162,78,84,0,0.481,691,740,-49,18
