league,season,n_teams,spearman_r_seed_1,spearman_p_seed_1,spearman_r_seed_2,spearman_p_seed_2,spearman_r_seed_3,spearman_p_seed_3,spearman_r_seed_4,spearman_p_seed_4,spearman_r_seed_5,spearman_p_seed_5,spearman_r_seed_6,spearman_p_seed_6,spearman_r_seed_7,spearman_p_seed_7,spearman_r_seed_8,spearman_p_seed_8,spearman_r_seed_9,spearman_p_seed_9,spearman_r_seed_10,spearman_p_seed_10,spearman_r_avg,spearman_p_avg
La Liga,2019,20,0.32668354767635366,0.15977627548923196,-0.5533181161569679,0.011382065500237515,0.3080268289008435,0.18642201965764263,0.19151144062548353,0.4186037534316668,0.043160847538003436,0.8566217836548551,0.3698080163513403,0.10852974954732239,-0.019462827476845617,0.935089508022383,0.22952752905593843,0.3303228128764375,0.45492987391337053,0.043862618993723866,0.07380056304187194,0.757156840762059,0.14246677034693916,0.3807767427935559
La Liga,2020,20,0.16397854298909367,0.4896823241792799,0.04207386603766795,0.8601982435388901,0.10652264955870067,0.654885716415337,0.37213264451973144,0.10615566180718485,0.22136981316499424,0.34826492891134686,0.05304444552299671,0.8242335936682275,0.009480521646399008,0.9683571431184131,-0.02889067808969175,0.9037636277710137,-0.4909345671177993,0.027949200430749242,-0.39164463552613515,0.08769077584117395,0.005713260270595761,0.5271181215681615
La Liga,2021,20,0.16041046977542378,0.4993063131591359,-0.06439288373310595,0.7873826880617817,-0.1511403282611157,0.5247317765904265,0.15129303850366183,0.5243080877989399,-0.17769314884529908,0.45355875834709714,0.15206626094847922,0.5221652736909004,0.24588242856823264,0.2960378312446697,-0.0050271906157111565,0.9832180036551458,-0.2405018321763931,0.3070676409223727,0.6968882573424974,0.0006392587026850653,0.07677850715066699,0.4898415632173155
La Liga,2022,20,-0.40956465016742893,0.07292341294120584,-0.41763905227536147,0.06691363405983486,-0.23435977328728333,0.31995788286999327,-0.004644197948712672,0.9844963740630781,0.0024134485205049784,0.9919428985583497,-0.22295215312863148,0.3447412831902936,0.040435764416509284,0.8655929692262976,0.0733230221439623,0.7586833733614626,-0.21167325980830878,0.3703109873200072,0.07171475083756687,0.763830754669554,-0.13129461006971835,0.5539393570260076
La Liga,2023,20,0.05064308492680428,0.8320796684726816,-0.09949838698798939,0.6764171050082572,-0.1771916040513509,0.4548550573140059,0.2798007686788474,0.23217126959823386,0.014391297234141148,0.9519816025971314,0.22763023314916564,0.33444605573430497,0.20744825486342264,0.3801588567733478,0.0003900214147136784,0.9986979255567865,-0.3015613513571401,0.1963166010029881,0.05993820008653405,0.8018007239269205,0.02619905179571485,0.5858924865984658
La Liga,2024,20,-0.353780969513574,0.1259507397614695,0.22171152366200425,0.34750222368366857,-0.030139328551830664,0.8996240121215809,-0.13641668128864556,0.5663173065439777,-0.27974700913724865,0.2322647713942671,0.11634526611519633,0.625214290877899,-0.31062253923610705,0.18254609678567638,-0.4283622498948122,0.05951760912874966,0.10986054645191734,0.6447440567001053,0.2917487001278535,0.21199448030834978,-0.07994027412652469,0.3895675587305744
Premier League,2001,20,-0.398551221291555,0.08175940488253156,0.024361948955916472,0.9187969146644354,-0.31343266983792334,0.17841193739994,-0.10229993183218353,0.6677994182981725,-0.37525932923279237,0.10302207012228373,-0.08182135537589937,0.7316505042963267,0.1139340990695925,0.6324487383810135,-0.023130300693909023,0.9228902199201232,0.011538461538461539,0.9614928592171025,0.16352646763058598,0.49089661302193477,-0.09811338310697061,0.5689168680203863
Premier League,2002,20,0.5662774203487875,0.009242749268140435,0.06912646901334636,0.7721347075631135,-0.20592902883786765,0.3837355430203999,-0.008956519392981688,0.9701053198912202,0.15677409549705107,0.5092080318797759,0.1285157818797123,0.5892103466577409,0.4438032501061875,0.049976988101514096,0.16147879480857255,0.49641518227349957,-0.1333395212472888,0.5751869819018,0.0038898575840448815,0.9870143493325734,0.1181640599759564,0.5342230199889778
Premier League,2005,20,0.005384717344725686,0.9820246700986659,0.42045189690070367,0.06491005536379213,-0.43561370434638835,0.05487898416888558,0.49635908628586667,0.02601028001170726,-0.33333977330883785,0.1509420729721818,0.3263433867359164,0.16023712235793697,-0.05939067159742231,0.8035772187308273,-0.02418427707373358,0.9193872769337617,0.22693945682379493,0.33595475736297176,0.16441803898635757,0.4885032418666997,0.07873681567509827,0.39864256798674297
Premier League,2006,20,-0.17704280155642027,0.4552400205590419,0.14230239909997744,0.549521533459824,0.03390989600084705,0.8871391098640307,0.01106292550175586,0.9630788007874653,0.3514795360664257,0.12860656603186915,-0.1546680205729111,0.5149854309395236,0.03045704086421171,0.8985711034553213,0.28113307580302116,0.22986183845134714,-0.08285655960478312,0.7283775647962223,0.16476975402429056,0.4875606673774776,0.06005472456264149,0.5842942635722123
Premier League,2007,20,0.14274713846230913,0.5482615909518567,-0.3086854482221621,0.1854333525278786,-0.053620389212944895,0.8223541421990902,0.32934372753649366,0.15620384265501036,-0.17602870136598142,0.45786803199718606,0.28180371422354333,0.22870501735987667,0.20716578015755674,0.38082246078350535,0.26058348712334495,0.2671557144204806,-0.10560794132455495,0.6576751911378935,0.05716551145237093,0.8108063694074787,0.06348668788299752,0.4515285713440257
